8893 東証JQS (株)新日本建物（不動産業）,,,,,
"2016-03-07","140","151","135","149","632700","149"
"2016-03-08","145","146","140","145","308300","145"
"2016-03-09","144","146","141","145","92400","145"
"2016-03-10","146","147","144","145","106400","145"
"2016-03-11","147","157","145","152","393900","152"
"2016-03-14","154","157","150","153","149300","153"
"2016-03-15","153","155","151","153","82800","153"
"2016-03-16","153","155","151","151","75200","151"
"2016-03-17","154","154","149","149","51800","149"
"2016-03-18","148","149","143","145","179700","145"
"2016-03-22","147","150","146","149","76400","149"
"2016-03-23","150","150","148","149","16200","149"
"2016-03-24","147","149","145","146","40300","146"
"2016-03-25","150","151","145","146","60400","146"
"2016-03-28","148","148","144","144","18900","144"
"2016-03-29","148","148","144","146","34000","146"
"2016-03-30","147","147","145","146","28800","146"
"2016-03-31","150","157","147","154","211300","154"
"2016-04-01","154","154","146","146","121000","146"
"2016-04-04","145","146","144","144","21900","144"
"2016-04-05","144","144","138","138","129500","138"
"2016-04-06","134","140","134","139","41700","139"
"2016-04-07","139","145","139","144","62400","144"
"2016-04-08","142","144","139","143","34200","143"
"2016-04-11","144","145","141","142","23000","142"
"2016-04-12","142","144","140","143","18600","143"
"2016-04-13","143","144","143","144","27400","144"
"2016-04-14","146","147","144","145","43500","145"
"2016-04-15","145","146","142","146","62200","146"
"2016-04-18","145","145","141","143","34800","143"
"2016-04-19","145","145","143","144","24200","144"
"2016-04-20","145","145","139","143","46400","143"
"2016-04-21","143","147","142","145","126700","145"
"2016-04-22","145","147","142","147","85800","147"
"2016-04-25","149","150","147","147","40700","147"
"2016-04-26","148","149","144","146","54900","146"
"2016-04-27","146","148","144","148","22900","148"
"2016-04-28","145","154","144","152","264000","152"
"2016-05-02","149","150","148","150","36900","150"
"2016-05-06","150","152","148","150","35300","150"
"2016-05-09","151","156","151","155","132200","155"
"2016-05-10","163","164","158","159","340700","159"
"2016-05-11","160","160","154","157","118900","157"
"2016-05-12","157","159","156","157","44400","157"
"2016-05-13","157","157","151","152","114600","152"
"2016-05-16","151","155","151","151","71200","151"
"2016-05-17","153","156","153","154","17500","154"
"2016-05-18","153","153","148","150","83200","150"
"2016-05-19","154","154","151","152","26000","152"
"2016-05-20","152","158","151","156","40200","156"
"2016-05-23","157","157","155","156","56000","156"
"2016-05-24","158","163","156","160","129000","160"
"2016-05-25","163","181","163","175","1015000","175"
"2016-05-26","183","183","164","165","809100","165"
"2016-05-27","163","174","162","174","199200","174"
"2016-05-30","176","178","173","173","163300","173"
"2016-05-31","175","176","173","175","59200","175"
"2016-06-01","173","188","173","180","704400","180"
"2016-06-02","182","189","180","188","443700","188"
"2016-06-03","189","198","188","197","1383900","197"
"2016-06-06","192","195","182","183","1025600","183"
"2016-06-07","181","186","172","172","459500","172"
"2016-06-08","175","175","168","175","217400","175"
"2016-06-09","175","182","173","181","269800","181"
"2016-06-10","180","187","176","186","337500","186"
"2016-06-13","177","187","177","186","376900","186"
"2016-06-14","182","230","177","213","9074500","213"
"2016-06-15","206","222","203","213","2775500","213"
"2016-06-16","218","219","186","194","2079900","194"
"2016-06-17","204","206","190","192","465700","192"
"2016-06-20","196","210","196","210","622200","210"
"2016-06-21","218","241","216","235","4591400","235"
"2016-06-22","230","231","212","216","1351500","216"
"2016-06-23","211","222","210","219","699200","219"
"2016-06-24","224","227","185","191","1412800","191"
"2016-06-27","200","241","200","232","2980300","232"
"2016-06-28","229","259","226","241","5600900","241"
"2016-06-29","241","256","229","233","2705300","233"
"2016-06-30","233","242","217","220","1116800","220"
"2016-07-01","219","224","215","221","423900","221"
"2016-07-04","224","228","218","223","390000","223"
"2016-07-05","225","225","212","217","422200","217"
"2016-07-06","219","231","214","230","987800","230"
"2016-07-07","230","237","225","228","646300","228"
"2016-07-08","229","236","220","223","627700","223"
"2016-07-11","230","230","212","223","379300","223"
"2016-07-12","223","255","223","246","2954800","246"
"2016-07-13","249","250","236","246","1148000","246"
"2016-07-14","252","269","249","266","3395900","266"
"2016-07-15","274","277","257","267","2220300","267"
"2016-07-19","260","266","255","260","968700","260"
"2016-07-20","258","262","235","238","1217800","238"
"2016-07-21","240","251","239","248","855600","248"
"2016-07-22","241","247","234","247","671000","247"
"2016-07-25","253","267","245","259","1248700","259"
"2016-07-26","254","257","247","248","483700","248"
"2016-07-27","251","266","250","259","1215300","259"
"2016-07-28","254","256","247","250","470600","250"
"2016-07-29","250","251","201","230","1619300","230"
"2016-08-01","224","229","217","221","513800","221"
"2016-08-02","217","219","207","216","565900","216"
"2016-08-03","215","215","203","207","448800","207"
"2016-08-04","211","211","205","206","172100","206"
"2016-08-05","206","214","206","209","206900","209"
"2016-08-08","183","190","171","179","915200","179"
"2016-08-09","182","183","173","175","350000","175"
"2016-08-10","175","175","171","173","163400","173"
"2016-08-12","178","182","173","177","251300","177"
"2016-08-15","177","183","175","181","250200","181"
"2016-08-16","179","185","179","179","216100","179"
"2016-08-17","179","179","169","173","365100","173"
"2016-08-18","172","172","166","168","124100","168"
"2016-08-19","169","170","167","170","80300","170"
"2016-08-22","168","170","164","170","222800","170"
"2016-08-23","168","169","167","168","68400","168"
"2016-08-24","166","169","166","167","67600","167"
"2016-08-25","169","169","167","167","51600","167"
"2016-08-26","166","167","165","165","65400","165"
"2016-08-29","165","170","165","166","31700","166"
"2016-08-30","164","167","162","164","112500","164"
"2016-08-31","165","165","162","164","67300","164"
"2016-09-01","164","166","164","165","56600","165"
"2016-09-02","160","162","157","159","300100","159"
"2016-09-05","157","159","155","158","113200","158"
"2016-09-06","158","164","156","162","120600","162"
"2016-09-07","162","166","162","165","70900","165"
"2016-09-08","163","167","163","166","63000","166"
"2016-09-09","166","166","164","165","97800","165"
"2016-09-12","163","165","160","163","118900","163"
"2016-09-13","161","163","158","159","164800","159"
"2016-09-14","156","160","155","155","220300","155"
"2016-09-15","155","157","150","152","180900","152"
"2016-09-16","152","156","151","155","74100","155"
"2016-09-20","154","159","154","156","97600","156"
"2016-09-21","154","156","151","153","260600","153"
"2016-09-23","157","158","154","155","127800","155"
"2016-09-26","157","157","154","154","42600","154"
"2016-09-27","153","154","152","154","45600","154"
"2016-09-28","154","155","154","154","26700","154"
"2016-09-29","155","159","155","156","133800","156"
"2016-09-30","156","156","153","154","66800","154"
"2016-10-03","155","155","151","153","79700","153"
"2016-10-04","156","156","153","153","46100","153"
"2016-10-05","159","164","156","163","342300","163"
"2016-10-06","164","169","162","165","273700","165"
"2016-10-07","164","167","155","162","144100","162"
"2016-10-11","165","165","160","161","69600","161"
"2016-10-12","161","161","157","158","58400","158"
"2016-10-13","157","160","157","158","24300","158"
"2016-10-17","157","162","157","162","117900","162"
"2016-10-19","162","162","158","161","67800","161"
"2016-10-20","160","166","160","166","83400","166"
"2016-10-21","166","166","163","163","58700","163"
"2016-10-24","166","167","164","164","15600","164"
"2016-10-25","166","166","164","164","37300","164"
"2016-10-26","164","165","162","164","32100","164"
"2016-10-27","166","177","165","175","321000","175"
"2016-10-28","175","180","172","179","321300","179"
"2016-10-31","179","180","177","178","119200","178"
"2016-11-01","179","179","174","174","74700","174"
"2016-11-02","173","173","163","167","181900","167"
"2016-11-04","164","165","161","162","86300","162"
"2016-11-07","164","168","164","168","55900","168"
"2016-11-08","172","172","166","166","66600","166"
"2016-11-09","164","165","147","158","186900","158"
"2016-11-10","162","170","161","161","88800","161"
"2016-11-11","165","165","161","162","37800","162"
"2016-11-14","162","167","162","166","32300","166"
"2016-11-15","166","166","160","165","65800","165"
"2016-11-16","167","168","165","167","38500","167"
"2016-11-17","167","168","165","168","41700","168"
"2016-11-18","168","179","168","176","252400","176"
"2016-11-21","180","182","177","180","114300","180"
"2016-11-22","180","187","179","181","159400","181"
"2016-11-24","182","189","182","189","164100","189"
"2016-11-25","186","191","181","185","386800","185"
"2016-11-28","179","183","179","180","136800","180"
"2016-11-29","181","183","181","181","33900","181"
"2016-11-30","180","183","179","182","58300","182"
"2016-12-01","182","186","180","182","203800","182"
"2016-12-02","182","182","179","179","77700","179"
"2016-12-05","178","178","172","177","93500","177"
"2016-12-06","176","185","175","182","205700","182"
"2016-12-07","182","189","182","187","146800","187"
"2016-12-08","184","197","184","197","278000","197"
"2016-12-09","199","202","191","201","355000","201"
"2016-12-12","203","205","193","197","414000","197"
"2016-12-13","198","198","194","197","93400","197"
"2016-12-14","197","203","196","197","218000","197"
"2016-12-15","197","197","194","194","98700","194"
"2016-12-16","195","197","194","195","69400","195"
"2016-12-19","195","197","194","197","72700","197"
"2016-12-20","197","197","193","193","97500","193"
"2016-12-21","194","194","186","189","135800","189"
"2016-12-22","187","187","183","185","120700","185"
"2016-12-26","183","187","182","185","115200","185"
"2016-12-27","183","186","182","185","127200","185"
"2016-12-28","186","189","185","185","99100","185"
"2016-12-29","185","186","181","182","73700","182"
"2016-12-30","182","184","181","183","56900","183"
