7224 東証1部 新明和工業(株)（輸送用機器）,,,,,
"2019-04-16","1384","1387","1364","1366","102500","1366"
"2019-04-17","1376","1383","1363","1373","92400","1373"
"2019-04-18","1385","1385","1351","1355","156300","1355"
"2019-04-19","1367","1370","1359","1361","66000","1361"
"2019-04-22","1356","1370","1346","1367","118500","1367"
"2019-04-23","1374","1378","1364","1370","103700","1370"
"2019-04-24","1380","1380","1351","1354","142200","1354"
"2019-04-25","1371","1375","1340","1350","294600","1350"
"2019-04-26","1350","1382","1344","1371","206400","1371"
"2019-05-07","1390","1390","1290","1297","563100","1297"
"2019-05-08","1269","1277","1233","1247","570800","1247"
"2019-05-09","1240","1247","1218","1223","399300","1223"
"2019-05-10","1223","1250","1217","1247","383800","1247"
"2019-05-13","1252","1266","1247","1248","303600","1248"
"2019-05-14","1226","1242","1220","1242","173200","1242"
"2019-05-15","1262","1270","1247","1259","224900","1259"
"2019-05-16","1262","1268","1251","1264","249500","1264"
"2019-05-17","1286","1289","1275","1282","180100","1282"
"2019-05-20","1291","1305","1286","1297","249800","1297"
"2019-05-21","1284","1302","1284","1288","223100","1288"
"2019-05-22","1293","1300","1289","1299","157300","1299"
"2019-05-23","1294","1310","1292","1308","162500","1308"
"2019-05-24","1301","1336","1297","1336","284600","1336"
"2019-05-27","1335","1342","1325","1330","241700","1330"
"2019-05-28","1339","1342","1292","1301","432500","1301"
"2019-05-29","1299","1300","1276","1291","184900","1291"
"2019-05-30","1280","1303","1280","1300","122300","1300"
"2019-05-31","1287","1305","1287","1297","149400","1297"
"2019-06-03","1287","1291","1276","1285","162300","1285"
"2019-06-04","1280","1299","1274","1298","135000","1298"
"2019-06-05","1311","1328","1309","1323","203600","1323"
"2019-06-06","1322","1328","1312","1315","161700","1315"
"2019-06-07","1322","1332","1307","1328","271700","1328"
"2019-06-10","1340","1359","1337","1352","188600","1352"
"2019-06-11","1352","1362","1342","1355","150300","1355"
"2019-06-12","1355","1365","1342","1345","197700","1345"
"2019-06-13","1340","1345","1318","1328","200200","1328"
"2019-06-14","1325","1331","1317","1322","180100","1322"
"2019-06-17","1319","1320","1308","1312","142800","1312"
"2019-06-18","1316","1357","1309","1338","377400","1338"
"2019-06-19","1359","1367","1347","1367","382700","1367"
"2019-06-20","1363","1363","1346","1353","224700","1353"
"2019-06-21","1356","1378","1342","1353","934700","1353"
"2019-06-24","1349","1358","1343","1350","181700","1350"
"2019-06-25","1358","1367","1353","1361","496500","1361"
"2019-06-26","1357","1378","1346","1368","392300","1368"
"2019-06-27","1367","1379","1364","1379","214100","1379"
"2019-06-28","1377","1380","1365","1370","193100","1370"
"2019-07-01","1398","1398","1380","1393","382900","1393"
"2019-07-02","1396","1411","1390","1411","329300","1411"
"2019-07-03","1394","1400","1391","1394","228300","1394"
"2019-07-04","1393","1404","1392","1403","181100","1403"
"2019-07-05","1403","1406","1391","1403","206300","1403"
"2019-07-08","1397","1402","1384","1386","278100","1386"
"2019-07-09","1384","1386","1364","1367","225700","1367"
"2019-07-10","1358","1358","1340","1342","312100","1342"
"2019-07-11","1337","1350","1329","1344","260900","1344"
"2019-07-12","1345","1360","1337","1347","248400","1347"
"2019-07-16","1341","1351","1341","1346","228300","1346"
"2019-07-17","1339","1345","1330","1340","157900","1340"
"2019-07-18","1333","1335","1308","1309","309500","1309"
"2019-07-19","1315","1338","1307","1331","226700","1331"
"2019-07-22","1330","1334","1321","1323","176100","1323"
"2019-07-23","1327","1353","1326","1351","227700","1351"
"2019-07-24","1350","1352","1346","1348","111000","1348"
"2019-07-25","1352","1360","1352","1354","144000","1354"
"2019-07-26","1358","1359","1346","1359","194400","1359"
"2019-07-29","1356","1356","1342","1350","166600","1350"
"2019-07-30","1358","1362","1346","1346","228900","1346"
"2019-07-31","1347","1368","1344","1368","803300","1368"
"2019-08-01","1361","1412","1359","1371","720200","1371"
"2019-08-02","1355","1368","1331","1335","622200","1335"
"2019-08-05","1334","1334","1280","1290","500900","1290"
"2019-08-06","1248","1290","1239","1290","408300","1290"
"2019-08-07","1291","1295","1268","1282","356700","1282"
"2019-08-08","1277","1278","1269","1270","240200","1270"
"2019-08-09","1278","1283","1271","1278","251300","1278"
"2019-08-13","1265","1265","1240","1243","584100","1243"
"2019-08-14","1261","1261","1232","1241","377200","1241"
"2019-08-15","1220","1230","1209","1230","405900","1230"
"2019-08-16","1224","1226","1210","1217","349500","1217"
"2019-08-19","1228","1236","1220","1231","342000","1231"
"2019-08-20","1237","1245","1230","1241","375700","1241"
"2019-08-21","1244","1244","1234","1234","279400","1234"
"2019-08-22","1238","1238","1210","1211","528800","1211"
"2019-08-23","1228","1233","1221","1229","275900","1229"
"2019-08-26","1201","1214","1196","1205","557000","1205"
"2019-08-27","1221","1236","1218","1228","387500","1228"
"2019-08-28","1228","1228","1213","1219","374200","1219"
"2019-08-29","1214","1229","1211","1216","349400","1216"
"2019-08-30","1225","1245","1225","1241","363400","1241"
"2019-09-02","1260","1262","1252","1259","355600","1259"
"2019-09-03","1271","1286","1265","1278","417900","1278"
"2019-09-04","1270","1270","1252","1264","586600","1264"
"2019-09-05","1279","1282","1273","1275","584300","1275"
"2019-09-06","1292","1294","1279","1290","590500","1290"
"2019-09-10","1330","1331","1316","1328","684600","1328"
"2019-09-11","1338","1361","1332","1352","790600","1352"
"2019-09-12","1362","1363","1346","1350","750100","1350"
"2019-09-13","1350","1354","1333","1354","672200","1354"
"2019-09-17","1340","1354","1333","1353","844400","1353"
"2019-09-18","1345","1350","1325","1332","915900","1332"
"2019-09-19","1330","1332","1315","1323","896600","1323"
"2019-09-20","1316","1334","1302","1332","957900","1332"
"2019-09-24","1342","1359","1337","1348","1138700","1348"
