6986 東証1部 双葉電子工業(株)（電気機器）,,,,,
"2016-03-28","1620","1639","1583","1618","125000","1618"
"2016-03-29","1604","1629","1591","1628","97500","1628"
"2016-03-30","1630","1632","1588","1593","183200","1593"
"2016-03-31","1601","1629","1593","1594","110800","1594"
"2016-04-01","1594","1604","1503","1512","164100","1512"
"2016-04-04","1503","1533","1488","1506","109100","1506"
"2016-04-05","1492","1493","1437","1455","245800","1455"
"2016-04-06","1456","1483","1437","1458","115800","1458"
"2016-04-07","1458","1491","1449","1470","156800","1470"
"2016-04-08","1436","1508","1419","1490","168800","1490"
"2016-04-11","1494","1503","1460","1498","85600","1498"
"2016-04-12","1498","1547","1491","1544","97200","1544"
"2016-04-13","1550","1616","1550","1613","122500","1613"
"2016-04-14","1622","1647","1622","1647","132200","1647"
"2016-04-15","1613","1644","1613","1631","116300","1631"
"2016-04-18","1582","1611","1572","1600","77800","1600"
"2016-04-19","1640","1669","1640","1667","94200","1667"
"2016-04-20","1687","1717","1679","1686","146300","1686"
"2016-04-21","1713","1717","1696","1714","127600","1714"
"2016-04-22","1701","1717","1673","1717","149700","1717"
"2016-04-25","1724","1729","1700","1717","48800","1717"
"2016-04-26","1726","1726","1680","1695","46400","1695"
"2016-04-27","1701","1703","1687","1693","78500","1693"
"2016-04-28","1721","1739","1657","1683","137000","1683"
"2016-05-02","1608","1624","1600","1620","95700","1620"
"2016-05-06","1605","1652","1591","1603","98100","1603"
"2016-05-09","1603","1623","1594","1597","40700","1597"
"2016-05-10","1603","1653","1594","1649","90000","1649"
"2016-05-11","1674","1693","1652","1658","54200","1658"
"2016-05-12","1632","1661","1625","1659","68400","1659"
"2016-05-13","1659","1672","1612","1621","68700","1621"
"2016-05-16","1781","1909","1727","1858","743800","1858"
"2016-05-17","1885","1977","1876","1925","710100","1925"
"2016-05-18","1925","1975","1906","1963","457700","1963"
"2016-05-19","1950","2029","1950","2006","346900","2006"
"2016-05-20","1993","2094","1992","2015","425800","2015"
"2016-05-23","1996","2042","1948","2039","330000","2039"
"2016-05-24","2030","2084","2007","2069","275600","2069"
"2016-05-25","2100","2105","2060","2073","288300","2073"
"2016-05-26","2089","2089","2012","2017","150500","2017"
"2016-05-27","2017","2017","1982","1991","137300","1991"
"2016-05-30","2000","2119","1992","2024","440900","2024"
"2016-05-31","2022","2035","2006","2019","133600","2019"
"2016-06-01","2000","2035","1993","2003","98500","2003"
"2016-06-02","1990","2001","1963","1968","100700","1968"
"2016-06-03","1960","1992","1960","1970","85400","1970"
"2016-06-06","1954","2002","1942","1999","219000","1999"
"2016-06-07","2009","2009","1966","1989","109200","1989"
"2016-06-08","1989","2040","1972","2040","134400","2040"
"2016-06-09","2029","2042","2004","2016","92100","2016"
"2016-06-10","2002","2017","1987","2013","131500","2013"
"2016-06-13","1973","1980","1959","1961","108900","1961"
"2016-06-14","1949","1962","1909","1922","73200","1922"
"2016-06-15","1920","1973","1917","1961","67400","1961"
"2016-06-16","1955","1960","1903","1917","127100","1917"
"2016-06-17","1918","1939","1904","1922","126500","1922"
"2016-06-20","1961","2009","1960","1978","83600","1978"
"2016-06-21","1962","1991","1932","1984","101200","1984"
"2016-06-22","1973","1977","1938","1975","84000","1975"
"2016-06-23","1962","1992","1942","1991","69300","1991"
"2016-06-24","2015","2022","1860","1870","170500","1870"
"2016-06-27","1898","1925","1859","1890","79100","1890"
"2016-06-28","1860","1907","1830","1894","96100","1894"
"2016-06-29","1925","1945","1888","1921","103500","1921"
"2016-06-30","1955","1969","1937","1940","65100","1940"
"2016-07-01","1954","1971","1932","1958","51200","1958"
"2016-07-04","1947","1962","1914","1955","68200","1955"
"2016-07-05","1946","1946","1910","1928","72800","1928"
"2016-07-06","1893","1899","1861","1893","75700","1893"
"2016-07-07","1890","1918","1868","1877","101600","1877"
"2016-07-08","1875","1891","1819","1819","101000","1819"
"2016-07-11","1870","1929","1870","1917","77300","1917"
"2016-07-12","1980","1997","1947","1955","93300","1955"
"2016-07-13","2020","2025","1946","1952","74300","1952"
"2016-07-14","1952","1952","1882","1897","198700","1897"
"2016-07-15","1895","1910","1854","1861","163200","1861"
"2016-07-19","1881","1912","1881","1905","216900","1905"
"2016-07-20","1900","1900","1866","1881","91000","1881"
"2016-07-21","1921","1925","1901","1911","89400","1911"
"2016-07-22","1893","1941","1887","1930","113900","1930"
"2016-07-25","1940","1956","1907","1912","109600","1912"
"2016-07-26","1907","1938","1867","1875","61700","1875"
"2016-07-27","1915","1973","1898","1950","127200","1950"
"2016-07-28","1937","1949","1912","1915","71100","1915"
"2016-07-29","1909","1922","1844","1918","154200","1918"
"2016-08-01","1915","1915","1860","1868","126200","1868"
"2016-08-02","1850","1857","1821","1825","132900","1825"
"2016-08-03","1814","1821","1782","1808","114500","1808"
"2016-08-04","1825","1852","1816","1849","87400","1849"
"2016-08-05","1826","1851","1814","1818","116500","1818"
"2016-08-08","1720","1732","1541","1580","625000","1580"
"2016-08-09","1581","1588","1547","1574","399400","1574"
"2016-08-10","1581","1598","1566","1592","362200","1592"
"2016-08-12","1607","1612","1582","1590","214000","1590"
"2016-08-15","1604","1608","1583","1594","106700","1594"
"2016-08-16","1598","1637","1580","1580","187200","1580"
"2016-08-17","1570","1580","1562","1577","108100","1577"
"2016-08-18","1564","1585","1550","1556","134800","1556"
"2016-08-19","1555","1596","1555","1586","75900","1586"
"2016-08-22","1590","1610","1589","1601","53400","1601"
"2016-08-23","1596","1598","1569","1580","74800","1580"
"2016-08-24","1593","1607","1578","1582","58200","1582"
"2016-08-25","1587","1605","1586","1597","78800","1597"
"2016-08-26","1580","1580","1530","1538","228300","1538"
"2016-08-29","1560","1581","1549","1573","131500","1573"
"2016-08-30","1570","1577","1546","1553","169500","1553"
"2016-08-31","1569","1570","1538","1551","252900","1551"
"2016-09-01","1560","1564","1546","1562","130000","1562"
"2016-09-02","1566","1569","1543","1547","146800","1547"
"2016-09-05","1569","1596","1567","1579","193900","1579"
"2016-09-06","1585","1588","1570","1578","183300","1578"
"2016-09-07","1578","1647","1575","1642","295600","1642"
"2016-09-08","1645","1669","1631","1643","209100","1643"
"2016-09-09","1652","1660","1650","1656","94300","1656"
"2016-09-12","1639","1672","1627","1656","208700","1656"
"2016-09-13","1666","1669","1650","1652","87300","1652"
"2016-09-14","1636","1636","1614","1619","120000","1619"
"2016-09-15","1614","1614","1575","1593","136300","1593"
"2016-09-16","1607","1629","1605","1622","71700","1622"
"2016-09-20","1622","1642","1619","1622","69900","1622"
"2016-09-21","1622","1649","1607","1649","137400","1649"
"2016-09-23","1648","1654","1625","1651","109400","1651"
"2016-09-26","1652","1659","1645","1648","101400","1648"
"2016-09-27","1635","1690","1625","1684","162200","1684"
"2016-09-28","1654","1680","1651","1666","133000","1666"
"2016-09-29","1680","1682","1663","1669","126300","1669"
"2016-09-30","1646","1651","1621","1640","130500","1640"
"2016-10-03","1645","1658","1636","1646","145100","1646"
"2016-10-04","1653","1656","1641","1655","156200","1655"
"2016-10-05","1655","1674","1645","1673","152600","1673"
"2016-10-06","1682","1703","1666","1673","104600","1673"
"2016-10-07","1677","1687","1667","1680","53800","1680"
"2016-10-11","1680","1690","1675","1684","52100","1684"
"2016-10-12","1667","1681","1659","1663","77500","1663"
"2016-10-13","1669","1679","1657","1678","80700","1678"
"2016-10-17","1666","1679","1661","1677","69100","1677"
"2016-10-19","1689","1689","1675","1680","65700","1680"
"2016-10-20","1681","1687","1671","1681","74100","1681"
"2016-10-21","1681","1685","1674","1676","63900","1676"
"2016-10-24","1680","1695","1668","1682","105900","1682"
"2016-10-25","1695","1705","1690","1702","76600","1702"
"2016-10-26","1717","1730","1699","1711","100500","1711"
"2016-10-27","1718","1718","1690","1701","66200","1701"
"2016-10-28","1702","1715","1693","1711","96100","1711"
"2016-10-31","1715","1716","1706","1716","66000","1716"
"2016-11-01","1716","1725","1702","1725","80000","1725"
"2016-11-02","1712","1717","1702","1711","75900","1711"
"2016-11-04","1700","1724","1692","1719","133400","1719"
"2016-11-07","1735","1750","1731","1746","108900","1746"
"2016-11-08","1760","1766","1745","1752","83400","1752"
"2016-11-09","1751","1768","1660","1672","172600","1672"
"2016-11-10","1700","1746","1695","1730","168100","1730"
"2016-11-11","1690","1696","1649","1658","437700","1658"
"2016-11-14","1658","1686","1620","1647","262600","1647"
"2016-11-15","1679","1699","1659","1679","197800","1679"
"2016-11-16","1700","1731","1700","1726","162100","1726"
"2016-11-17","1711","1719","1698","1717","97900","1717"
"2016-11-18","1734","1777","1733","1774","193700","1774"
"2016-11-21","1780","1786","1764","1773","103900","1773"
"2016-11-22","1780","1805","1761","1766","162700","1766"
"2016-11-24","1792","1793","1775","1780","52600","1780"
"2016-11-25","1790","1818","1789","1808","110700","1808"
"2016-11-28","1807","1824","1797","1819","98400","1819"
"2016-11-29","1803","1821","1792","1801","132100","1801"
"2016-11-30","1803","1808","1781","1782","80900","1782"
"2016-12-01","1813","1850","1805","1829","174000","1829"
"2016-12-02","1829","1834","1805","1810","93700","1810"
"2016-12-05","1802","1815","1793","1807","62000","1807"
"2016-12-06","1820","1832","1810","1815","83000","1815"
"2016-12-07","1815","1839","1810","1835","85500","1835"
"2016-12-08","1845","1870","1841","1852","81800","1852"
"2016-12-09","1840","1865","1840","1864","135800","1864"
"2016-12-12","1888","1910","1873","1899","140900","1899"
"2016-12-13","1903","1940","1895","1939","131700","1939"
"2016-12-14","1943","1956","1921","1943","116300","1943"
"2016-12-15","1945","1963","1945","1954","116800","1954"
"2016-12-16","1975","1975","1956","1961","99800","1961"
"2016-12-19","1960","1960","1944","1956","63600","1956"
"2016-12-20","1949","1964","1937","1962","62200","1962"
"2016-12-21","1965","1970","1939","1945","83500","1945"
"2016-12-22","1945","1961","1936","1954","52600","1954"
"2016-12-26","1957","1975","1957","1967","43600","1967"
"2016-12-27","1960","1979","1952","1974","50700","1974"
"2016-12-28","1971","2017","1967","2005","101300","2005"
"2016-12-29","1995","1995","1964","1976","89700","1976"
"2016-12-30","1958","1965","1945","1962","82600","1962"
