7971 東証1部 東リ(株)（化学）,,,,,
"2017-10-17","399","403","394","400","75000","400"
"2017-10-18","400","400","394","396","41200","396"
"2017-10-19","395","395","390","390","60000","390"
"2017-10-20","389","392","388","388","54300","388"
"2017-10-23","393","398","392","397","43700","397"
"2017-10-24","398","402","397","402","74200","402"
"2017-10-25","403","403","395","398","41900","398"
"2017-10-26","400","400","395","396","27800","396"
"2017-10-27","399","400","396","399","29600","399"
"2017-10-30","400","405","397","404","129000","404"
"2017-10-31","404","412","402","412","102000","412"
"2017-11-01","413","415","390","408","213600","408"
"2017-11-02","407","415","403","412","89400","412"
"2017-11-06","415","415","405","409","51000","409"
"2017-11-07","410","412","402","411","78400","411"
"2017-11-08","407","419","407","413","95500","413"
"2017-11-09","411","420","411","416","124800","416"
"2017-11-10","411","416","410","415","66200","415"
"2017-11-13","413","415","405","408","115100","408"
"2017-11-15","407","412","395","399","162500","399"
"2017-11-16","392","410","392","404","67900","404"
"2017-11-17","404","406","396","397","45300","397"
"2017-11-20","395","410","395","401","39500","401"
"2017-11-21","404","404","401","402","25800","402"
"2017-11-22","404","410","400","402","30800","402"
"2017-11-24","404","404","397","400","30700","400"
"2017-11-27","400","410","398","406","56500","406"
"2017-11-28","407","409","403","404","32000","404"
"2017-11-29","408","414","406","410","62300","410"
"2017-11-30","411","415","404","406","59700","406"
"2017-12-01","404","411","404","407","37300","407"
"2017-12-04","409","410","404","404","37100","404"
"2017-12-05","403","408","403","407","42700","407"
"2017-12-06","407","407","397","399","38500","399"
"2017-12-07","400","407","400","406","42300","406"
"2017-12-08","407","422","406","421","204400","421"
"2017-12-11","423","423","418","423","81000","423"
"2017-12-12","424","424","419","421","61100","421"
"2017-12-13","419","420","415","419","36200","419"
"2017-12-14","417","424","416","424","59500","424"
"2017-12-15","426","437","425","437","341400","437"
"2017-12-18","437","442","433","441","139300","441"
"2017-12-19","442","442","433","439","63200","439"
"2017-12-20","437","438","432","437","40400","437"
"2017-12-21","435","443","435","442","61300","442"
"2017-12-22","443","445","442","444","73700","444"
"2017-12-25","445","445","438","441","86100","441"
"2017-12-26","438","440","424","432","205200","432"
"2017-12-27","431","437","427","432","142800","432"
"2017-12-28","433","440","432","434","90600","434"
"2017-12-29","435","444","435","442","53500","442"
