1898 東証1部 世紀東急工業(株)（建設業）,,,,,
"2016-08-29","477","490","477","490","123300","490"
"2016-08-30","490","490","483","488","93700","488"
"2016-08-31","493","507","492","506","354100","506"
"2016-09-01","508","520","505","518","259600","518"
"2016-09-02","518","521","515","519","94100","519"
"2016-09-05","523","523","513","514","87800","514"
"2016-09-06","514","519","511","517","62500","517"
"2016-09-07","513","525","513","524","147600","524"
"2016-09-08","522","526","521","523","125500","523"
"2016-09-09","520","526","520","521","138100","521"
"2016-09-12","511","524","511","524","101300","524"
"2016-09-13","525","525","517","522","52200","522"
"2016-09-14","520","520","517","518","43400","518"
"2016-09-15","515","519","512","517","41900","517"
"2016-09-16","518","518","512","514","51400","514"
"2016-09-20","509","518","509","512","85500","512"
"2016-09-21","509","517","505","514","103200","514"
"2016-09-23","512","512","505","511","85100","511"
"2016-09-26","520","520","505","506","54200","506"
"2016-09-27","508","513","499","513","76500","513"
"2016-09-28","509","515","509","515","45400","515"
"2016-09-29","512","519","512","519","53100","519"
"2016-09-30","509","517","508","511","69900","511"
"2016-10-03","513","516","508","511","53700","511"
"2016-10-04","511","511","498","501","179500","501"
"2016-10-05","505","507","499","500","154100","500"
"2016-10-06","502","506","499","500","136100","500"
"2016-10-07","499","499","491","494","123000","494"
"2016-10-11","495","499","494","497","49400","497"
"2016-10-12","496","496","488","488","69500","488"
"2016-10-13","489","490","483","486","95600","486"
"2016-10-17","488","488","483","483","51700","483"
"2016-10-19","490","492","484","487","92200","487"
"2016-10-20","490","491","485","489","74700","489"
"2016-10-21","497","497","490","492","164000","492"
"2016-10-24","489","490","486","488","109500","488"
"2016-10-25","490","492","489","490","54100","490"
"2016-10-26","493","497","491","496","119100","496"
"2016-10-27","500","505","495","499","157300","499"
"2016-10-28","502","503","496","502","194700","502"
"2016-10-31","502","508","502","506","146400","506"
"2016-11-01","502","503","491","495","202700","495"
"2016-11-02","492","494","486","488","140100","488"
"2016-11-04","485","488","482","486","119800","486"
"2016-11-07","491","495","488","494","58600","494"
"2016-11-08","496","496","486","493","74400","493"
"2016-11-09","477","485","443","462","644700","462"
"2016-11-10","480","481","470","470","203200","470"
"2016-11-11","474","480","469","479","274000","479"
"2016-11-14","484","489","480","483","130700","483"
"2016-11-15","487","490","481","489","194900","489"
"2016-11-16","491","493","486","489","207700","489"
"2016-11-17","487","491","482","488","301400","488"
"2016-11-18","490","499","489","497","169400","497"
"2016-11-21","497","498","492","495","171100","495"
"2016-11-22","498","506","498","505","179500","505"
"2016-11-24","509","512","501","502","106100","502"
"2016-11-25","501","502","492","497","197900","497"
"2016-11-28","497","507","495","505","123800","505"
"2016-11-29","506","506","500","502","175400","502"
"2016-11-30","501","511","500","510","201100","510"
"2016-12-01","514","529","514","519","174900","519"
"2016-12-02","515","517","509","513","189800","513"
"2016-12-05","511","514","500","502","178700","502"
"2016-12-06","508","509","504","507","132700","507"
"2016-12-07","506","511","504","509","140500","509"
"2016-12-08","512","515","511","515","106100","515"
"2016-12-09","509","515","509","514","176700","514"
"2016-12-12","516","518","509","513","151000","513"
"2016-12-13","515","518","511","515","108100","515"
"2016-12-14","519","525","514","515","180600","515"
"2016-12-15","515","518","504","508","150500","508"
"2016-12-16","512","514","507","508","99200","508"
"2016-12-19","505","507","498","504","166200","504"
"2016-12-20","504","509","502","508","104800","508"
"2016-12-21","510","510","499","502","161700","502"
"2016-12-22","500","504","498","500","89800","500"
"2016-12-26","503","503","497","497","119900","497"
"2016-12-27","499","500","495","495","101700","495"
"2016-12-28","495","501","492","499","70500","499"
"2016-12-29","496","496","492","494","123100","494"
"2016-12-30","491","495","490","494","117500","494"
