7201 東証1部 日産自動車(株)（輸送用機器）,,,,,
"2019-04-01","916","929.3","915.8","924.5","13493900","924.5"
"2019-04-02","928.3","936.6","926","932.7","13533300","932.7"
"2019-04-03","935.9","943.3","932","938.3","11291600","938.3"
"2019-04-04","938.3","946.6","938.3","943.7","9606000","943.7"
"2019-04-05","938.7","946.2","938","944.1","9042900","944.1"
"2019-04-08","943","943.4","933.4","936.3","7833600","936.3"
"2019-04-09","933.4","940.6","933.1","937.6","7831000","937.6"
"2019-04-10","931","931.4","923.2","926","9593500","926"
"2019-04-11","923.7","932.2","921.8","930.7","8161600","930.7"
"2019-04-12","932","934.2","927","929","6829900","929"
"2019-04-15","935","940.8","933.2","936.4","8623400","936.4"
"2019-04-16","930","938.4","929","934.7","7889500","934.7"
"2019-04-17","937.9","958","937.8","957.5","18739800","957.5"
"2019-04-18","957.5","966","956.8","960.8","14172300","960.8"
"2019-04-19","957.9","957.9","931.3","939.3","18629700","939.3"
"2019-04-22","937.3","947.4","937.3","944.5","6625300","944.5"
"2019-04-23","943.1","946.5","939.4","942.6","10342800","942.6"
"2019-04-24","917","926.4","904","904.9","31788100","904.9"
"2019-04-25","898.6","899.7","876.6","888.9","26085500","888.9"
"2019-04-26","888.7","895.3","876","893.3","16644900","893.3"
"2019-05-07","890","890.6","874.9","878","22575200","878"
"2019-05-08","876.3","878.3","868","873.7","17660500","873.7"
"2019-05-09","868.2","868.2","858.2","858.4","15428100","858.4"
"2019-05-10","863.7","868","855.2","858.5","13390600","858.5"
"2019-05-13","853.5","868.6","848.9","865.7","13601200","865.7"
"2019-05-14","844","862.9","825","840.2","25591500","840.2"
"2019-05-15","795","795.7","772.8","785.8","37086800","785.8"
"2019-05-16","785","799.6","778.9","787.1","24078100","787.1"
"2019-05-17","789.6","790.5","777.6","780.4","16924100","780.4"
"2019-05-20","777.2","781.5","763.9","770.1","15617600","770.1"
"2019-05-21","773","773.4","761.2","771.3","12966900","771.3"
"2019-05-22","769","771.2","755.2","756.1","16637300","756.1"
"2019-05-23","751.5","757.2","744","747.6","15810700","747.6"
"2019-05-24","731","743.9","728","740.6","14238600","740.6"
"2019-05-27","740.8","750.5","738","747.8","14284900","747.8"
"2019-05-28","777.8","777.8","758.5","765.1","33194600","765.1"
"2019-05-29","757","784.7","752","779.2","23301700","779.2"
"2019-05-30","769.7","777","765.7","775.8","14472000","775.8"
"2019-05-31","749.4","755.3","733.7","734.6","29185000","734.6"
"2019-06-03","723.3","745.6","722","744.8","14207300","744.8"
"2019-06-04","741.9","760.3","740.5","758.8","14795700","758.8"
"2019-06-05","770","772.2","760.6","762.9","12913900","762.9"
"2019-06-06","735.6","756.1","733.9","749.9","22326900","749.9"
"2019-06-07","756.2","764.8","750.2","761","12345100","761"
"2019-06-10","772","776.7","764.1","767.4","9594100","767.4"
"2019-06-11","768.5","773.1","765.1","770.1","8475900","770.1"
"2019-06-12","770.1","770.9","761.3","765.6","10135500","765.6"
"2019-06-13","760","772","750.1","756.8","11493600","756.8"
"2019-06-14","754.3","761","753","755.5","10420900","755.5"
"2019-06-17","760.8","770.5","757.9","757.9","8726600","757.9"
"2019-06-18","759.3","764.4","750.1","752.5","9437900","752.5"
"2019-06-19","758.1","767.8","755.2","763","9618300","763"
"2019-06-20","770.3","773","761","762.1","7856400","762.1"
"2019-06-21","766.9","772.7","762.8","766.3","13776000","766.3"
"2019-06-24","761","768.9","757.2","766.5","6540900","766.5"
"2019-06-25","769","769.9","759.6","764.3","7927000","764.3"
"2019-06-26","764.9","768.4","758.7","761.2","8452900","761.2"
"2019-06-27","767.1","779.5","763.7","777.8","11641700","777.8"
"2019-06-28","774","775","767","771.6","12063200","771.6"
"2019-07-01","776.8","789.6","776.3","789.6","12220200","789.6"
"2019-07-02","787.5","789","778.7","786.7","10259300","786.7"
"2019-07-03","784.6","784.6","767.7","770.6","11126700","770.6"
"2019-07-04","777.1","777.5","771.1","772.8","6209500","772.8"
"2019-07-05","773.8","777.3","771.8","773.4","7650600","773.4"
"2019-07-08","773.5","773.5","765","770.5","8022600","770.5"
"2019-07-09","771","775.4","769.3","772.7","8686300","772.7"
"2019-07-10","775.5","777.2","770.1","773.7","7763600","773.7"
"2019-07-11","769.1","779.2","767.9","776.3","8305800","776.3"
"2019-07-12","774.6","777.6","772.8","775.4","6048000","775.4"
"2019-07-16","776.5","782.6","772.6","774.1","9889900","774.1"
"2019-07-17","774","777.1","768","768","9085400","768"
"2019-07-18","767.7","767.7","748.2","750.5","12255300","750.5"
"2019-07-19","750","766.7","748.2","764.6","9487400","764.6"
"2019-07-22","765","771.5","763.1","766.7","6163900","766.7"
"2019-07-23","766.1","774.7","765.1","774.2","7124400","774.2"
"2019-07-24","780","784.3","778.9","781.6","9795600","781.6"
"2019-07-25","750","769.6","748","765.6","16927700","765.6"
"2019-07-26","755.1","764","741","741","20077800","741"
"2019-07-29","738.3","746.7","717","720.1","15693100","720.1"
"2019-07-30","720","731.2","719.1","727.6","14336400","727.6"
"2019-07-31","721","724.5","710.8","710.8","15993500","710.8"
"2019-08-01","702.9","713.4","700.1","709.4","11652300","709.4"
"2019-08-02","702.9","709.9","690.7","691.7","16969600","691.7"
"2019-08-05","680","680.8","653","661.9","22551200","661.9"
"2019-08-06","641.9","684.8","638.1","684.1","24792000","684.1"
"2019-08-07","682.9","689","675.6","678.9","12198400","678.9"
"2019-08-08","676.9","682.3","671.3","672","10999300","672"
"2019-08-09","677.3","679.5","670.5","675.7","7987900","675.7"
"2019-08-13","664","664.9","656.1","660.9","11464100","660.9"
"2019-08-14","662.8","666.7","659.2","662.5","9382500","662.5"
"2019-08-15","648.2","657.8","642.5","655.1","11013200","655.1"
"2019-08-16","648.9","670","645.5","658.8","13510700","658.8"
"2019-08-19","660.1","663.8","657.8","663.4","8288500","663.4"
"2019-08-20","663.1","669.3","659.6","669.3","8750200","669.3"
"2019-08-21","664","664","657.1","659.1","9480000","659.1"
"2019-08-22","655.7","663.5","651.3","663.5","13397900","663.5"
"2019-08-23","660.1","661.1","655.7","658.9","9976600","658.9"
"2019-08-26","647","651.8","642","648.8","10396600","648.8"
"2019-08-27","653","655.3","646.7","647.3","13804200","647.3"
"2019-08-28","646","651.6","640","648.4","12113400","648.4"
"2019-08-29","650.7","651.4","635.1","645.2","34302900","645.2"
"2019-08-30","638.6","657.4","638.2","656.4","19967700","656.4"
"2019-09-02","654.4","656.7","647.7","647.7","7701400","647.7"
"2019-09-03","647.6","658.3","646.9","656.3","7922100","656.3"
"2019-09-04","653.5","655.2","644.2","644.9","10934700","644.9"
"2019-09-05","643","663","642","657.7","18376800","657.7"
"2019-09-06","665.5","676.8","665","674","14740200","674"
"2019-09-10","690.1","704.8","688.4","697.5","21843400","697.5"
"2019-09-11","710.7","719.2","708.4","718.4","19723200","718.4"
"2019-09-12","719.5","721.4","707","711.1","16889400","711.1"
"2019-09-13","712.8","713.9","702.1","713.5","16168900","713.5"
"2019-09-17","710","721.7","708.2","716.7","10671100","716.7"
"2019-09-18","717","717.5","709","713.9","11324800","713.9"
"2019-09-19","716.1","718.5","711.7","713.7","10569500","713.7"
"2019-09-20","710.1","713.3","706.3","709.3","13879500","709.3"
"2019-09-24","709.6","712.6","702.2","702.2","16463800","702.2"
