6986 東証1部 双葉電子工業(株)（電気機器）,,,,,
"2019-07-17","1415","1423","1411","1417","70800","1417"
"2019-07-18","1412","1412","1378","1379","94400","1379"
"2019-07-19","1382","1415","1378","1411","48100","1411"
"2019-07-22","1403","1427","1403","1410","51200","1410"
"2019-07-23","1408","1440","1408","1435","61400","1435"
"2019-07-24","1438","1443","1433","1438","52200","1438"
"2019-07-25","1454","1457","1436","1446","58500","1446"
"2019-07-26","1435","1437","1419","1433","52500","1433"
"2019-07-29","1428","1436","1418","1433","64900","1433"
"2019-07-30","1435","1458","1435","1457","107600","1457"
"2019-07-31","1453","1466","1449","1456","114700","1456"
"2019-08-01","1443","1458","1438","1452","40900","1452"
"2019-08-02","1421","1422","1390","1394","104800","1394"
"2019-08-05","1390","1390","1351","1375","128700","1375"
"2019-08-06","1330","1365","1321","1362","76000","1362"
"2019-08-07","1375","1388","1314","1321","189000","1321"
"2019-08-08","1311","1366","1311","1350","98200","1350"
"2019-08-09","1371","1388","1365","1376","81900","1376"
"2019-08-13","1360","1367","1344","1367","46600","1367"
"2019-08-14","1379","1387","1356","1371","86000","1371"
"2019-08-15","1338","1367","1338","1363","41800","1363"
"2019-08-16","1357","1379","1356","1358","48200","1358"
"2019-08-19","1374","1380","1352","1352","54100","1352"
"2019-08-20","1355","1371","1355","1369","33000","1369"
"2019-08-21","1350","1357","1335","1338","54000","1338"
"2019-08-22","1341","1345","1315","1320","50900","1320"
"2019-08-23","1332","1332","1311","1318","43400","1318"
"2019-08-26","1294","1294","1237","1245","122100","1245"
"2019-08-27","1260","1275","1254","1269","32700","1269"
"2019-08-28","1261","1268","1220","1226","59400","1226"
"2019-08-29","1231","1245","1225","1245","34400","1245"
"2019-08-30","1255","1301","1255","1297","70500","1297"
"2019-09-02","1290","1290","1270","1273","26400","1273"
"2019-09-03","1273","1296","1271","1294","23200","1294"
"2019-09-04","1287","1287","1270","1270","24000","1270"
"2019-09-05","1273","1302","1273","1297","48600","1297"
"2019-09-06","1301","1308","1283","1289","23400","1289"
"2019-09-10","1292","1318","1292","1318","45300","1318"
"2019-09-11","1329","1365","1329","1357","86100","1357"
"2019-09-12","1371","1382","1354","1374","53300","1374"
"2019-09-13","1370","1373","1347","1366","100800","1366"
"2019-09-17","1368","1380","1355","1374","55000","1374"
"2019-09-18","1378","1384","1359","1364","51300","1364"
"2019-09-19","1364","1393","1364","1375","50200","1375"
"2019-09-20","1388","1398","1374","1396","64300","1396"
"2019-09-24","1393","1408","1378","1380","68100","1380"
