7971 東証1部 東リ(株)（化学）,,,,,
"2018-04-23","376","377","371","374","27200","374"
"2018-04-24","379","379","376","378","29400","378"
"2018-04-25","376","384","375","384","33000","384"
"2018-04-26","383","387","383","387","29400","387"
"2018-04-27","390","390","383","390","26600","390"
"2018-05-01","390","390","382","387","33800","387"
"2018-05-02","385","386","383","385","14400","385"
"2018-05-07","385","392","385","390","49800","390"
"2018-05-08","395","399","377","383","93500","383"
"2018-05-09","383","383","360","362","174300","362"
"2018-05-10","364","373","364","372","63500","372"
"2018-05-11","370","372","367","369","37100","369"
"2018-05-14","369","371","369","370","41300","370"
"2018-05-15","372","375","367","375","42100","375"
"2018-05-16","375","375","370","374","29600","374"
"2018-05-17","373","373","366","367","53700","367"
"2018-05-18","369","374","367","373","23700","373"
"2018-05-21","374","374","369","370","30100","370"
"2018-05-22","372","372","369","369","21700","369"
"2018-05-23","370","371","367","369","62100","369"
"2018-05-24","371","371","363","364","56000","364"
"2018-05-25","361","364","360","361","86900","361"
"2018-05-28","363","364","359","361","25100","361"
"2018-05-29","361","361","358","359","28200","359"
"2018-05-30","358","358","352","353","37000","353"
"2018-05-31","354","355","352","353","44800","353"
"2018-06-01","351","351","347","349","86500","349"
"2018-06-04","352","355","351","354","44400","354"
"2018-06-05","355","358","355","358","38200","358"
"2018-06-06","356","357","355","357","38700","357"
"2018-06-07","360","361","357","360","46600","360"
"2018-06-08","355","356","354","354","102500","354"
"2018-06-11","355","355","350","350","41400","350"
"2018-06-12","353","353","347","350","43600","350"
"2018-06-13","351","352","350","352","38300","352"
"2018-06-14","351","353","351","352","30100","352"
"2018-06-15","357","357","350","353","43400","353"
"2018-06-18","352","352","348","350","49100","350"
"2018-06-19","348","351","344","346","47600","346"
"2018-06-20","345","348","341","347","41600","347"
"2018-06-21","346","349","343","344","39300","344"
"2018-06-22","342","350","341","345","113300","345"
"2018-06-25","340","342","338","338","55500","338"
"2018-06-26","337","337","333","335","43200","335"
"2018-06-27","338","339","334","336","40800","336"
"2018-06-28","335","335","328","331","77400","331"
"2018-06-29","331","333","328","332","31600","332"
"2018-07-02","330","334","325","327","56200","327"
"2018-07-03","327","327","318","320","75600","320"
"2018-07-04","317","328","316","326","45000","326"
"2018-07-05","326","328","320","323","61900","323"
"2018-07-06","323","336","323","336","65300","336"
"2018-07-09","333","335","329","332","28400","332"
"2018-07-10","333","339","331","332","62900","332"
"2018-07-11","332","338","328","336","56500","336"
"2018-07-12","337","351","337","348","109900","348"
"2018-07-13","351","354","347","354","56800","354"
"2018-07-17","360","368","354","367","188200","367"
"2018-07-18","371","371","363","366","40000","366"
"2018-07-19","366","366","361","362","30100","362"
"2018-07-20","360","362","354","355","29800","355"
"2018-07-23","354","359","353","358","28800","358"
"2018-07-24","366","368","362","366","80400","366"
"2018-07-25","366","369","362","367","64200","367"
"2018-07-26","369","374","367","372","72200","372"
"2018-07-27","370","370","367","370","55100","370"
"2018-07-30","362","370","362","370","77100","370"
"2018-07-31","364","365","338","361","150300","361"
"2018-08-01","360","360","351","354","80200","354"
"2018-08-02","351","359","348","350","53300","350"
"2018-08-03","350","352","338","339","52900","339"
"2018-08-06","338","343","335","335","30700","335"
"2018-08-07","337","341","334","339","38200","339"
"2018-08-08","340","345","338","339","44200","339"
"2018-08-09","340","348","339","346","51200","346"
"2018-08-10","349","349","338","338","51800","338"
"2018-08-13","335","335","327","329","48000","329"
"2018-08-14","328","334","328","333","15800","333"
"2018-08-15","336","336","326","329","37900","329"
"2018-08-16","325","330","321","325","38200","325"
"2018-08-17","324","328","323","328","22300","328"
"2018-08-20","324","327","321","321","21600","321"
"2018-08-21","321","322","318","319","32200","319"
"2018-08-22","319","325","319","324","25700","324"
"2018-08-23","324","332","323","329","28300","329"
"2018-08-24","337","337","329","332","40300","332"
"2018-08-27","335","335","332","334","16300","334"
"2018-08-28","335","345","334","339","47900","339"
"2018-08-29","341","350","339","344","44300","344"
"2018-08-30","347","359","342","356","80500","356"
"2018-08-31","352","355","349","350","25000","350"
"2018-09-03","351","351","341","342","52800","342"
"2018-09-04","344","347","343","344","27300","344"
"2018-09-05","344","355","344","348","48100","348"
"2018-09-06","348","355","348","353","36900","353"
"2018-09-07","353","356","348","354","34900","354"
"2018-09-10","353","363","353","359","58400","359"
"2018-09-11","364","364","356","360","58800","360"
"2018-09-12","359","360","348","353","46200","353"
"2018-09-13","353","361","350","352","41000","352"
"2018-09-14","351","357","351","355","88800","355"
"2018-09-18","356","363","355","363","43100","363"
"2018-09-19","363","364","356","362","75600","362"
"2018-09-20","363","364","360","364","44600","364"
"2018-09-21","365","369","363","369","80400","369"
"2018-09-25","370","379","370","379","127700","379"
"2018-09-26","380","380","376","379","43300","379"
"2018-09-27","375","379","370","372","46400","372"
"2018-09-28","372","376","363","364","47600","364"
"2018-10-01","361","366","361","363","21100","363"
"2018-10-02","366","370","358","358","42700","358"
"2018-10-03","361","363","345","345","36600","345"
"2018-10-04","352","361","352","358","44300","358"
"2018-10-05","356","359","354","356","30100","356"
"2018-10-09","356","356","345","347","38400","347"
"2018-10-10","347","352","344","349","37700","349"
"2018-10-11","340","342","335","336","80200","336"
"2018-10-12","336","339","332","333","66200","333"
"2018-10-15","333","333","328","328","56100","328"
"2018-10-16","329","334","329","331","51900","331"
"2018-10-17","334","338","330","332","51500","332"
"2018-10-18","334","338","333","333","23100","333"
"2018-10-19","329","335","329","333","28000","333"
"2018-10-22","332","335","327","334","30700","334"
"2018-10-23","334","334","323","323","37100","323"
"2018-10-24","329","331","323","328","58100","328"
"2018-10-25","322","323","315","317","69600","317"
"2018-10-26","320","322","311","316","93000","316"
"2018-10-29","311","312","289","289","112000","289"
"2018-10-30","289","291","286","287","114500","287"
"2018-10-31","291","304","291","295","70600","295"
"2018-11-01","293","298","289","293","81100","293"
"2018-11-02","293","303","293","297","72600","297"
"2018-11-05","295","304","294","301","64700","301"
"2018-11-06","305","308","301","301","45500","301"
"2018-11-07","302","314","302","307","49700","307"
"2018-11-08","309","313","308","311","55200","311"
"2018-11-09","309","312","307","307","43000","307"
"2018-11-12","307","316","304","310","52400","310"
"2018-11-13","302","305","298","301","53000","301"
"2018-11-14","300","305","300","304","43600","304"
"2018-11-15","302","308","300","307","34500","307"
"2018-11-16","307","307","301","305","30100","305"
"2018-11-19","302","304","298","303","28600","303"
"2018-11-20","300","305","295","305","26000","305"
"2018-11-21","297","300","294","298","44300","298"
"2018-11-22","298","302","296","300","42500","300"
"2018-11-26","301","324","290","294","91400","294"
"2018-11-27","300","320","297","310","91000","310"
"2018-11-28","306","306","297","300","109600","300"
"2018-11-29","304","304","295","295","50600","295"
"2018-11-30","298","301","295","297","46300","297"
"2018-12-03","298","302","298","299","66500","299"
"2018-12-04","301","301","290","291","74500","291"
"2018-12-05","288","288","283","283","63700","283"
"2018-12-06","283","284","280","282","93900","282"
"2018-12-07","282","282","275","279","125300","279"
"2018-12-10","278","279","272","276","69200","276"
"2018-12-11","277","278","267","267","38600","267"
"2018-12-12","268","278","268","275","44000","275"
"2018-12-13","275","281","275","280","92700","280"
"2018-12-14","279","281","274","274","73200","274"
"2018-12-17","281","281","271","274","66100","274"
"2018-12-18","270","271","267","267","36200","267"
"2018-12-19","267","271","265","266","36200","266"
"2018-12-20","265","268","257","257","58500","257"
"2018-12-21","255","255","242","245","107300","245"
"2018-12-25","253","253","231","232","113900","232"
"2018-12-26","231","240","231","236","109800","236"
"2018-12-27","244","255","244","253","92500","253"
"2018-12-28","249","253","246","249","65900","249"
