6384 東証JQS (株)昭和真空（機械）,,,,,
"2015-07-10","507","531","501","505","20800","505"
"2015-07-13","510","534","510","520","8000","520"
"2015-07-14","529","540","520","534","11600","534"
"2015-07-15","534","535","527","530","7500","530"
"2015-07-16","535","535","521","523","6400","523"
"2015-07-17","533","533","522","525","1200","525"
"2015-07-21","530","530","523","525","4900","525"
"2015-07-22","525","525","513","523","6100","523"
"2015-07-23","523","525","520","520","5100","520"
"2015-07-24","524","524","501","507","21200","507"
"2015-07-27","498","506","498","501","9500","501"
"2015-07-28","483","507","482","493","19100","493"
"2015-07-29","493","498","489","498","8600","498"
"2015-07-30","490","504","488","499","10600","499"
"2015-07-31","496","501","490","491","4800","491"
"2015-08-03","495","495","486","491","20300","491"
"2015-08-04","487","498","483","483","7900","483"
"2015-08-05","483","490","483","488","6500","488"
"2015-08-06","490","499","486","499","12200","499"
"2015-08-07","579","579","579","579","18300","579"
"2015-08-10","679","679","679","679","46800","679"
"2015-08-11","760","779","731","761","1342500","761"
"2015-08-12","731","734","686","698","302700","698"
"2015-08-13","678","690","633","638","225200","638"
"2015-08-14","640","738","631","670","516400","670"
"2015-08-17","660","670","644","650","85500","650"
"2015-08-18","668","701","649","682","98700","682"
"2015-08-19","702","704","659","659","49400","659"
"2015-08-20","654","672","604","633","72300","633"
"2015-08-21","603","621","601","606","63100","606"
"2015-08-24","560","583","516","516","122100","516"
"2015-08-25","480","538","467","475","144000","475"
"2015-08-26","501","523","486","521","40200","521"
"2015-08-27","540","551","520","528","54300","528"
"2015-08-28","551","551","531","546","45200","546"
"2015-08-31","550","553","533","539","35100","539"
"2015-09-01","543","544","505","515","38200","515"
"2015-09-02","500","520","493","509","18000","509"
"2015-09-03","519","520","500","504","23100","504"
"2015-09-04","508","513","478","486","43000","486"
"2015-09-07","480","495","475","482","21200","482"
"2015-09-08","487","490","472","472","21000","472"
"2015-09-09","493","510","486","509","28000","509"
"2015-09-10","498","507","481","500","15000","500"
"2015-09-11","503","524","503","514","8900","514"
"2015-09-14","528","540","519","519","27300","519"
"2015-09-15","532","532","516","522","15700","522"
"2015-09-16","525","525","501","505","17400","505"
"2015-09-17","512","522","503","513","24100","513"
"2015-09-18","508","512","505","511","8000","511"
"2015-09-24","507","507","488","493","22900","493"
"2015-09-25","497","501","490","501","17300","501"
"2015-09-28","499","505","495","505","5700","505"
"2015-09-29","495","500","480","480","20200","480"
"2015-09-30","483","492","483","491","8300","491"
"2015-10-01","495","503","492","498","14400","498"
"2015-10-02","504","506","497","502","13500","502"
"2015-10-05","505","513","501","504","18800","504"
"2015-10-06","513","515","506","510","19700","510"
"2015-10-07","510","549","510","548","51800","548"
"2015-10-08","549","568","549","566","41400","566"
"2015-10-09","565","577","553","568","27100","568"
"2015-10-13","568","572","560","564","14000","564"
"2015-10-14","567","570","556","560","15500","560"
"2015-10-15","552","569","552","562","12000","562"
"2015-10-16","574","577","567","575","18800","575"
"2015-10-19","575","575","565","569","11400","569"
"2015-10-20","574","606","574","604","53700","604"
"2015-10-21","593","612","581","602","41900","602"
"2015-10-22","585","623","585","602","36200","602"
"2015-10-23","600","612","595","606","32600","606"
"2015-10-26","609","628","608","623","21500","623"
"2015-10-27","628","646","615","628","35000","628"
"2015-10-28","628","628","565","565","62000","565"
"2015-10-29","579","590","575","590","18900","590"
"2015-10-30","600","600","575","592","14100","592"
"2015-11-02","600","600","581","585","6500","585"
"2015-11-04","586","591","585","589","6500","589"
"2015-11-05","590","590","582","587","8000","587"
"2015-11-06","600","600","587","593","8500","593"
"2015-11-09","603","609","592","608","18300","608"
"2015-11-10","598","622","598","620","29600","620"
"2015-11-11","720","720","720","720","41500","720"
"2015-11-12","870","870","870","870","102700","870"
"2015-11-13","1020","1020","1020","1020","57200","1020"
"2015-11-16","1320","1443","1240","1285","5253100","1285"
"2015-11-17","1280","1340","1185","1280","1699200","1280"
"2015-11-18","1346","1520","1254","1301","4170400","1301"
"2015-11-19","1255","1320","1216","1255","816300","1255"
"2015-11-20","1233","1235","1118","1146","682400","1146"
"2015-11-24","1151","1209","1149","1165","498100","1165"
"2015-11-25","1165","1167","1110","1153","241700","1153"
"2015-11-26","1140","1380","1127","1317","1247600","1317"
"2015-11-27","1329","1338","1225","1260","432200","1260"
"2015-11-30","1300","1315","1238","1248","257900","1248"
"2015-12-01","1218","1269","1200","1227","191600","1227"
"2015-12-02","1233","1314","1222","1273","295100","1273"
"2015-12-03","1250","1287","1230","1230","167800","1230"
"2015-12-04","1208","1240","1200","1206","126600","1206"
"2015-12-07","1215","1265","1215","1265","132300","1265"
"2015-12-08","1298","1298","1222","1235","122800","1235"
"2015-12-09","1230","1230","1182","1205","172900","1205"
"2015-12-10","1200","1245","1173","1232","95900","1232"
"2015-12-11","1250","1273","1234","1265","132200","1265"
"2015-12-14","1205","1260","1190","1212","156900","1212"
"2015-12-15","1237","1237","1081","1091","231700","1091"
"2015-12-16","1140","1141","1080","1093","200600","1093"
"2015-12-17","1063","1139","1038","1106","178000","1106"
"2015-12-18","1076","1095","1069","1069","62800","1069"
"2015-12-21","1039","1047","1005","1021","104200","1021"
"2015-12-22","1018","1030","995","1000","88600","1000"
"2015-12-24","1010","1019","950","955","121900","955"
"2015-12-25","970","1016","962","1002","113700","1002"
"2015-12-28","1050","1050","1012","1044","55400","1044"
"2015-12-29","1038","1064","1035","1055","49200","1055"
"2015-12-30","1067","1120","1067","1120","76100","1120"
