7762 東証1部 シチズンホールディングス(株)（精密機器）,,,,,
"2016-07-13","548","549","537","540","3649700","540"
"2016-07-14","541","546","535","542","2193500","542"
"2016-07-15","548","565","543","555","4101000","555"
"2016-07-19","563","568","551","565","3141000","565"
"2016-07-20","568","568","553","558","2164500","558"
"2016-07-21","568","573","563","569","1621300","569"
"2016-07-22","566","569","559","560","1715400","560"
"2016-07-25","562","574","562","570","1897900","570"
"2016-07-26","564","564","541","545","2932500","545"
"2016-07-27","552","571","549","568","2653100","568"
"2016-07-28","566","569","560","565","1620700","565"
"2016-07-29","555","567","543","554","4183500","554"
"2016-08-01","547","552","535","544","3495000","544"
"2016-08-02","535","541","526","527","3221700","527"
"2016-08-03","516","519","493","495","5522600","495"
"2016-08-04","502","512","497","508","4378800","508"
"2016-08-05","505","522","502","516","4272100","516"
"2016-08-08","522","539","521","536","3333900","536"
"2016-08-09","535","549","532","548","3248000","548"
"2016-08-10","540","547","537","542","2782700","542"
"2016-08-12","534","566","523","559","3789200","559"
"2016-08-15","540","559","506","510","7600900","510"
"2016-08-16","511","532","511","521","5799400","521"
"2016-08-17","521","539","521","535","3611700","535"
"2016-08-18","530","537","526","530","3157200","530"
"2016-08-19","533","551","531","550","2564100","550"
"2016-08-22","551","559","550","556","1631300","556"
"2016-08-23","546","547","534","537","2245300","537"
"2016-08-24","539","551","539","549","2000900","549"
"2016-08-25","551","553","545","549","2110900","549"
"2016-08-26","545","549","537","544","2586800","544"
"2016-08-29","557","570","553","566","2233600","566"
"2016-08-30","563","565","556","559","1752900","559"
"2016-08-31","564","577","563","572","1516100","572"
"2016-09-01","574","575","568","570","1427200","570"
"2016-09-02","560","569","556","568","2006600","568"
"2016-09-05","571","575","565","567","1502100","567"
"2016-09-06","570","573","564","567","1562400","567"
"2016-09-07","565","565","553","564","1616400","564"
"2016-09-08","567","568","558","562","1822100","562"
"2016-09-09","563","567","559","561","2414000","561"
"2016-09-12","554","556","542","545","1689000","545"
"2016-09-13","547","549","541","545","1256400","545"
"2016-09-14","535","537","519","531","4478500","531"
"2016-09-15","531","531","518","521","3470100","521"
"2016-09-16","524","527","511","526","3547400","526"
"2016-09-20","525","539","524","536","3540600","536"
"2016-09-21","535","549","528","548","3388300","548"
"2016-09-23","543","551","541","548","2316300","548"
"2016-09-26","543","544","531","531","2321000","531"
"2016-09-27","530","539","522","539","3248300","539"
"2016-09-28","524","528","520","523","2223300","523"
"2016-09-29","530","543","530","540","2582000","540"
"2016-09-30","532","532","522","526","2252600","526"
"2016-10-03","530","535","525","529","1768000","529"
"2016-10-04","529","535","527","529","1630100","529"
"2016-10-05","533","547","529","544","2621500","544"
"2016-10-06","554","557","546","548","1836200","548"
"2016-10-07","551","577","551","573","4539800","573"
"2016-10-11","575","576","566","569","2083900","569"
"2016-10-12","559","565","555","557","2034900","557"
"2016-10-13","558","566","549","552","1634200","552"
"2016-10-17","565","573","562","567","1529900","567"
"2016-10-19","571","575","568","569","1052500","569"
"2016-10-20","573","580","570","577","1896700","577"
"2016-10-21","579","582","574","575","1743300","575"
"2016-10-24","580","582","576","576","1590200","576"
"2016-10-25","584","598","584","591","1808400","591"
"2016-10-26","588","589","582","585","1369700","585"
"2016-10-27","588","588","578","582","1219500","582"
"2016-10-28","586","593","586","589","2465600","589"
"2016-10-31","591","592","584","591","1553600","591"
"2016-11-01","591","595","588","595","1721900","595"
"2016-11-02","585","585","575","576","1853700","576"
"2016-11-04","564","568","555","567","2243200","567"
"2016-11-07","577","587","576","580","2352600","580"
"2016-11-08","586","589","581","585","1515700","585"
"2016-11-09","590","597","544","545","4398700","545"
"2016-11-10","584","592","576","585","2773500","585"
"2016-11-11","600","607","590","592","3525600","592"
"2016-11-14","602","657","602","649","6609700","649"
"2016-11-15","641","655","638","641","2675000","641"
"2016-11-16","647","656","643","651","2658400","651"
"2016-11-17","646","659","644","654","2374600","654"
"2016-11-18","657","665","652","664","2943500","664"
"2016-11-21","670","678","669","676","2000500","676"
"2016-11-22","676","677","669","675","1678700","675"
"2016-11-24","680","705","678","703","3535900","703"
"2016-11-25","714","734","712","722","4500900","722"
"2016-11-28","715","717","691","702","2818800","702"
"2016-11-29","691","699","683","698","3000800","698"
"2016-11-30","708","710","698","699","1743500","699"
"2016-12-01","717","728","708","712","2914900","712"
"2016-12-02","705","715","696","714","2467300","714"
"2016-12-05","709","712","700","707","1647400","707"
"2016-12-06","715","725","715","720","1681000","720"
"2016-12-07","727","738","725","733","1528500","733"
"2016-12-08","740","751","739","745","2204700","745"
"2016-12-09","755","763","747","762","3135400","762"
"2016-12-12","767","767","719","731","4259700","731"
"2016-12-13","731","736","719","732","2508300","732"
"2016-12-14","731","737","727","734","1427700","734"
"2016-12-15","745","757","737","746","2057100","746"
"2016-12-16","753","760","751","758","1619300","758"
"2016-12-19","755","755","739","743","1785300","743"
"2016-12-20","742","744","719","731","2305600","731"
"2016-12-21","736","739","721","726","2052100","726"
"2016-12-22","725","728","713","724","1525600","724"
"2016-12-26","724","727","708","710","1411200","710"
"2016-12-27","710","716","707","712","1321400","712"
"2016-12-28","716","729","709","727","1790000","727"
"2016-12-29","720","725","695","701","2485200","701"
"2016-12-30","688","701","685","699","1764000","699"
