6384 東証JQS (株)昭和真空（機械）,,,,,
"2019-07-04","1278","1300","1278","1284","11000","1284"
"2019-07-05","1268","1294","1257","1294","10100","1294"
"2019-07-08","1299","1299","1279","1283","5900","1283"
"2019-07-09","1290","1290","1240","1240","5200","1240"
"2019-07-10","1246","1285","1246","1284","5300","1284"
"2019-07-11","1282","1296","1272","1292","5500","1292"
"2019-07-12","1280","1297","1276","1284","4000","1284"
"2019-07-16","1251","1266","1250","1256","3800","1256"
"2019-07-17","1266","1266","1250","1262","2000","1262"
"2019-07-18","1246","1248","1200","1235","11800","1235"
"2019-07-19","1235","1272","1229","1272","6600","1272"
"2019-07-22","1270","1270","1245","1249","4700","1249"
"2019-07-23","1279","1279","1255","1262","4500","1262"
"2019-07-24","1278","1278","1260","1260","8300","1260"
"2019-07-25","1278","1278","1260","1260","4800","1260"
"2019-07-26","1265","1265","1246","1260","3900","1260"
"2019-07-29","1274","1274","1262","1269","1100","1269"
"2019-07-30","1264","1269","1258","1258","2900","1258"
"2019-07-31","1265","1292","1265","1292","20700","1292"
"2019-08-01","1281","1292","1280","1292","8400","1292"
"2019-08-02","1262","1272","1253","1253","5900","1253"
"2019-08-05","1253","1253","1213","1250","8900","1250"
"2019-08-06","1201","1238","1201","1231","3500","1231"
"2019-08-07","1231","1260","1231","1250","4200","1250"
"2019-08-08","1250","1252","1215","1239","4800","1239"
"2019-08-09","1287","1291","1250","1257","10500","1257"
"2019-08-13","1250","1250","1230","1238","1900","1238"
"2019-08-14","1238","1250","1238","1240","3500","1240"
"2019-08-15","1211","1227","1210","1225","3300","1225"
"2019-08-16","1240","1240","1217","1232","4800","1232"
"2019-08-19","1250","1256","1240","1249","1400","1249"
"2019-08-20","1254","1256","1249","1256","3500","1256"
"2019-08-21","1248","1256","1248","1249","3500","1249"
"2019-08-22","1255","1260","1251","1251","2800","1251"
"2019-08-23","1260","1260","1249","1249","1100","1249"
"2019-08-26","1230","1235","1218","1232","2700","1232"
"2019-08-27","1248","1248","1228","1228","1000","1228"
"2019-08-28","1224","1240","1222","1227","1300","1227"
"2019-08-29","1233","1233","1230","1230","400","1230"
"2019-08-30","1228","1234","1214","1231","6000","1231"
"2019-09-02","1220","1234","1220","1233","4800","1233"
"2019-09-03","1233","1233","1220","1231","3600","1231"
"2019-09-04","1232","1232","1213","1230","2800","1230"
"2019-09-05","1229","1256","1211","1256","5200","1256"
"2019-09-06","1238","1254","1238","1252","2900","1252"
"2019-09-10","1257","1265","1254","1260","7400","1260"
"2019-09-11","1260","1262","1250","1262","2600","1262"
"2019-09-12","1269","1285","1259","1285","9400","1285"
"2019-09-13","1280","1280","1270","1278","4400","1278"
"2019-09-17","1278","1284","1265","1266","6200","1266"
"2019-09-18","1266","1274","1266","1274","3900","1274"
"2019-09-19","1259","1268","1259","1268","8300","1268"
"2019-09-20","1279","1280","1260","1270","6700","1270"
"2019-09-24","1270","1280","1256","1256","5800","1256"
