1898 東証1部 世紀東急工業(株)（建設業）,,,,,
"2017-04-14","505","511","500","509","86900","509"
"2017-04-17","510","513","505","510","52400","510"
"2017-04-18","513","517","513","514","71900","514"
"2017-04-19","515","528","511","525","167900","525"
"2017-04-20","523","540","519","540","193500","540"
"2017-04-21","542","542","531","533","140300","533"
"2017-04-24","541","541","534","538","74900","538"
"2017-04-25","533","541","533","540","64300","540"
"2017-04-26","555","590","555","584","1004600","584"
"2017-04-27","590","595","582","589","408900","589"
"2017-04-28","590","603","585","600","514700","600"
"2017-05-01","600","605","593","601","135500","601"
"2017-05-02","602","604","596","596","111400","596"
"2017-05-08","601","616","599","612","258900","612"
"2017-05-09","607","616","607","612","119200","612"
"2017-05-10","600","608","597","600","264100","600"
"2017-05-11","597","602","595","597","123000","597"
"2017-05-12","597","600","595","599","102300","599"
"2017-05-15","597","597","585","585","119600","585"
"2017-05-16","583","600","581","599","209100","599"
"2017-05-17","595","597","590","593","63400","593"
"2017-05-18","580","601","580","599","166100","599"
"2017-05-19","601","602","591","596","72600","596"
"2017-05-22","600","605","596","603","89800","603"
"2017-05-23","605","615","603","611","153200","611"
"2017-05-24","615","616","610","613","181800","613"
"2017-05-25","612","615","603","612","244700","612"
"2017-05-26","612","614","604","609","258800","609"
"2017-05-29","608","615","606","607","363300","607"
"2017-05-30","608","615","607","615","188000","615"
"2017-05-31","617","617","608","610","199500","610"
"2017-06-01","605","615","605","607","165900","607"
"2017-06-02","608","610","601","602","197200","602"
"2017-06-05","600","603","584","584","290300","584"
"2017-06-06","584","585","574","574","157500","574"
"2017-06-07","571","592","571","588","261700","588"
"2017-06-08","590","591","577","581","175300","581"
"2017-06-09","579","586","574","577","157900","577"
"2017-06-12","578","584","577","578","91500","578"
"2017-06-13","580","582","577","580","81900","580"
"2017-06-14","581","581","575","576","135400","576"
"2017-06-15","578","580","573","573","84400","573"
"2017-06-16","574","578","567","567","117300","567"
"2017-06-19","573","575","569","571","54600","571"
"2017-06-20","575","579","571","576","101300","576"
"2017-06-21","576","581","570","577","150000","577"
"2017-06-22","580","581","575","579","121800","579"
"2017-06-23","581","591","580","589","123700","589"
"2017-06-26","592","599","581","587","165200","587"
"2017-06-27","590","590","578","584","113500","584"
"2017-06-28","583","587","578","578","176200","578"
"2017-06-29","584","589","581","589","130800","589"
"2017-06-30","583","586","578","583","247100","583"
"2017-07-03","583","592","579","590","215100","590"
"2017-07-04","590","592","583","584","179600","584"
"2017-07-05","579","594","578","592","151700","592"
"2017-07-06","590","594","589","593","141300","593"
"2017-07-07","590","594","586","589","155300","589"
"2017-07-10","594","597","589","595","193900","595"
"2017-07-11","597","603","595","600","161200","600"
"2017-07-12","596","604","595","602","87500","602"
"2017-07-13","604","604","596","597","52100","597"
"2017-07-14","600","600","593","594","46700","594"
"2017-07-18","591","593","587","593","89500","593"
"2017-07-19","591","595","587","592","70100","592"
"2017-07-20","593","595","589","593","81700","593"
"2017-07-21","592","604","586","598","282900","598"
"2017-07-24","602","604","594","604","159800","604"
"2017-07-25","603","603","597","600","76400","600"
"2017-07-26","605","605","594","596","110800","596"
"2017-07-27","600","601","594","596","104000","596"
"2017-07-28","597","598","591","598","104200","598"
"2017-07-31","593","601","590","598","87600","598"
"2017-08-01","597","600","594","594","112800","594"
"2017-08-02","596","602","593","598","164700","598"
"2017-08-03","601","620","599","617","323100","617"
"2017-08-04","618","628","613","626","231300","626"
"2017-08-07","627","648","627","648","619700","648"
"2017-08-08","647","657","641","647","586000","647"
"2017-08-09","617","620","585","595","984600","595"
"2017-08-10","602","619","597","603","380100","603"
"2017-08-14","595","599","588","591","276400","591"
"2017-08-15","601","605","596","598","222100","598"
"2017-08-16","599","606","597","606","152200","606"
"2017-08-17","603","608","600","604","216400","604"
"2017-08-18","602","608","599","606","136500","606"
"2017-08-21","606","614","603","606","249000","606"
"2017-08-22","602","611","602","607","113300","607"
"2017-08-23","610","617","608","615","255200","615"
"2017-08-24","611","612","603","604","259000","604"
"2017-08-25","605","608","602","605","186000","605"
"2017-08-28","607","607","596","599","199200","599"
"2017-08-29","597","601","594","599","111500","599"
"2017-08-30","604","613","601","613","293200","613"
"2017-08-31","616","631","610","630","347700","630"
"2017-09-01","640","656","635","641","565700","641"
"2017-09-04","645","645","621","624","192400","624"
"2017-09-05","624","631","612","619","167300","619"
"2017-09-06","612","622","610","619","122500","619"
"2017-09-07","618","627","617","619","179100","619"
"2017-09-08","618","628","616","620","111500","620"
"2017-09-11","625","631","615","615","103500","615"
"2017-09-12","622","629","621","627","223800","627"
"2017-09-13","628","633","628","631","101800","631"
"2017-09-14","628","640","627","634","156600","634"
"2017-09-15","630","633","629","630","58900","630"
"2017-09-19","634","638","627","633","147000","633"
"2017-09-20","628","635","625","631","176100","631"
"2017-09-21","629","633","628","630","83400","630"
"2017-09-22","632","637","625","626","170000","626"
"2017-09-25","628","633","628","632","78200","632"
"2017-09-26","637","653","635","651","295700","651"
"2017-09-27","650","657","646","654","156100","654"
"2017-09-28","651","656","648","656","128000","656"
"2017-09-29","652","656","652","654","68300","654"
"2017-10-02","657","676","657","673","356700","673"
"2017-10-03","671","673","662","669","151600","669"
"2017-10-04","665","666","652","654","137200","654"
"2017-10-05","657","663","648","662","182700","662"
"2017-10-06","658","664","656","662","68100","662"
"2017-10-10","661","672","658","668","288600","668"
"2017-10-11","669","669","661","661","104500","661"
"2017-10-12","663","667","659","660","104000","660"
"2017-10-13","671","672","658","672","311100","672"
"2017-10-16","674","695","674","688","395700","688"
"2017-10-17","690","690","680","682","140500","682"
"2017-10-18","681","686","675","686","162600","686"
"2017-10-19","689","689","676","677","113300","677"
"2017-10-20","673","677","671","673","164900","673"
"2017-10-23","678","678","664","668","370000","668"
"2017-10-24","668","675","666","671","160800","671"
"2017-10-25","669","675","655","655","298800","655"
"2017-10-26","654","659","646","646","222600","646"
"2017-10-27","652","656","629","645","757100","645"
"2017-10-30","653","653","636","639","658500","639"
"2017-10-31","643","647","640","642","195900","642"
"2017-11-01","647","652","644","649","287100","649"
"2017-11-02","650","650","641","650","197500","650"
"2017-11-06","650","662","645","657","203300","657"
"2017-11-07","661","664","653","664","246200","664"
"2017-11-08","614","643","597","620","1451900","620"
"2017-11-09","620","624","605","611","428800","611"
"2017-11-10","605","620","602","617","469300","617"
"2017-11-13","613","616","605","614","372200","614"
"2017-11-15","609","610","585","594","470000","594"
"2017-11-16","594","597","589","592","125300","592"
"2017-11-17","598","612","592","612","423000","612"
"2017-11-20","606","608","598","605","143600","605"
"2017-11-21","604","606","600","602","190700","602"
"2017-11-22","605","617","603","616","253300","616"
"2017-11-24","616","623","612","621","212700","621"
"2017-11-27","625","625","605","606","242900","606"
"2017-11-28","610","610","602","605","109100","605"
"2017-11-29","608","611","602","610","154100","610"
"2017-11-30","610","611","602","604","152500","604"
"2017-12-01","609","620","606","611","186000","611"
"2017-12-04","614","621","610","611","288500","611"
"2017-12-05","611","625","611","624","198700","624"
"2017-12-06","619","627","615","619","164300","619"
"2017-12-07","623","631","621","627","284300","627"
"2017-12-08","627","632","623","624","254000","624"
"2017-12-11","623","627","616","623","202500","623"
"2017-12-12","626","635","626","631","169400","631"
"2017-12-13","633","638","623","625","227900","625"
"2017-12-14","629","630","621","625","96900","625"
"2017-12-15","626","626","618","622","160400","622"
"2017-12-18","622","624","616","618","155400","618"
"2017-12-19","618","620","609","610","119700","610"
"2017-12-20","609","613","608","610","133200","610"
"2017-12-21","610","614","606","611","115500","611"
"2017-12-22","613","623","613","619","195000","619"
"2017-12-25","625","632","621","625","102800","625"
"2017-12-26","626","633","626","630","107400","630"
"2017-12-27","634","638","626","636","209400","636"
"2017-12-28","644","656","639","649","446300","649"
"2017-12-29","650","653","648","651","103000","651"
