4188 東証1部 (株)三菱ケミカルホールディングス（化学）,,,,,
"2019-03-11","806","817.6","804.7","815.2","5195200","815.2"
"2019-03-12","823.7","830","820","826.1","6533800","826.1"
"2019-03-13","827.7","834","821","823.4","8641900","823.4"
"2019-03-14","809.4","811.7","802","802","11272100","802"
"2019-03-15","806","816.3","801","813","11052300","813"
"2019-03-18","820.9","822.5","812.6","816.8","5421800","816.8"
"2019-03-19","815","815.1","807.4","811.7","5627200","811.7"
"2019-03-20","815.3","821.6","814.2","818.2","6031200","818.2"
"2019-03-22","820","825.8","816.6","825.1","5653900","825.1"
"2019-03-25","812.5","815","801.2","805.1","10182900","805.1"
"2019-03-26","812.4","830.6","809.2","828.1","10838800","828.1"
"2019-03-27","810","811.1","803.8","809.6","6428400","809.6"
"2019-03-28","804","805","787","788.9","8204900","788.9"
"2019-03-29","790.5","794.8","779.1","779.4","7228800","779.4"
"2019-04-01","791.7","815.4","789.1","809.6","9022700","809.6"
"2019-04-02","815","816.7","805.1","812.9","7285000","812.9"
"2019-04-03","809.8","818.3","808.1","813.1","7480600","813.1"
"2019-04-04","813.6","820.4","809.5","815.8","6793800","815.8"
"2019-04-05","815","828.7","814.7","828.7","7224400","828.7"
"2019-04-08","825.2","825.9","814.2","817.2","5576500","817.2"
"2019-04-09","811","811.9","802.9","808.6","6775200","808.6"
"2019-04-10","802","807.3","795","805.7","4634100","805.7"
"2019-04-11","799.2","800.7","793.4","798.5","5398500","798.5"
"2019-04-12","798","800.7","793.5","795.6","5329800","795.6"
"2019-04-15","807.6","816.1","805.5","808.6","5259800","808.6"
"2019-04-16","804","811.7","798","806.8","5935500","806.8"
"2019-04-17","810.5","818.6","806.4","812.8","7071500","812.8"
"2019-04-18","808.4","811.5","793.4","794.2","8029000","794.2"
"2019-04-19","804.1","806.5","799.2","799.5","3532400","799.5"
"2019-04-22","798.9","802.3","794.1","795.8","3059900","795.8"
"2019-04-23","793.2","801","793.2","795.8","4481600","795.8"
"2019-04-24","801","804.7","788.2","788.8","6020800","788.8"
"2019-04-25","788","798.6","784.3","796","5584600","796"
"2019-04-26","782.6","789.6","777.7","789.1","6530800","789.1"
"2019-05-07","780.1","785","773.1","774.9","7753400","774.9"
"2019-05-08","767.6","767.6","750.7","753.5","8645500","753.5"
"2019-05-09","750.1","752.6","739.3","739.6","7106900","739.6"
"2019-05-10","732.8","748.3","728.7","736.1","9285900","736.1"
"2019-05-13","715","722.8","710.8","714.9","9499100","714.9"
"2019-05-14","700","734.5","695.8","728.8","12651500","728.8"
"2019-05-15","731.5","740.7","727.3","733.3","7542000","733.3"
"2019-05-16","726","731.3","717","729.8","5968400","729.8"
"2019-05-17","725.6","733","720.2","730.5","7012900","730.5"
"2019-05-20","717.4","727.1","716.8","721","7260100","721"
"2019-05-21","714","722.6","706.1","721.5","6957800","721.5"
"2019-05-22","728.4","728.5","715.1","718.4","5529400","718.4"
"2019-05-23","719.2","719.7","713.4","713.5","5130000","713.5"
"2019-05-24","710","722.5","705.4","722.4","5020900","722.4"
"2019-05-27","718.5","726.4","714","716.7","3710100","716.7"
"2019-05-28","712.2","719.7","708.7","713.3","6441100","713.3"
"2019-05-29","707.7","714.2","701","711.7","5458800","711.7"
"2019-05-30","703.8","720.8","703.1","718.9","6589100","718.9"
"2019-05-31","714.6","720.4","708.8","711.3","5329100","711.3"
"2019-06-03","703","708.8","700.1","703.7","5013800","703.7"
"2019-06-04","709.2","719.1","707","717.8","6466800","717.8"
"2019-06-05","729.1","732.6","724.2","729.6","6274700","729.6"
"2019-06-06","722.5","727.5","719.2","724.9","4316800","724.9"
"2019-06-07","723","730.5","721.2","727.7","4926900","727.7"
"2019-06-10","738.6","744.9","734.7","742.6","4575600","742.6"
"2019-06-11","742.8","754.1","742.4","752.3","3799800","752.3"
"2019-06-12","748.1","753.4","743.6","749.4","4255700","749.4"
"2019-06-13","747.3","749.8","733.4","738.8","5015600","738.8"
"2019-06-14","735","740.6","732.9","739.1","3968100","739.1"
"2019-06-17","739","740.4","729.8","731.7","4534000","731.7"
"2019-06-18","729.7","737","723.7","724.1","5399500","724.1"
"2019-06-19","738.9","754.1","734.4","744.9","6195600","744.9"
"2019-06-20","742.6","743.2","734.1","741.6","3916500","741.6"
"2019-06-21","740","751.7","738.6","746.6","6410400","746.6"
"2019-06-24","750.4","753.5","744.2","752","3197500","752"
"2019-06-25","749.9","749.9","740.1","741.2","4767200","741.2"
"2019-06-26","739.2","746","735.7","737.7","4925300","737.7"
"2019-06-27","742","754.2","740.2","754","4664700","754"
"2019-06-28","754.3","756.4","747.1","752.6","5499200","752.6"
"2019-07-01","770.4","778.1","759.3","777.9","7425600","777.9"
"2019-07-02","779.8","780.1","772","777.1","5175000","777.1"
"2019-07-03","771.6","771.6","757.9","762.4","5386000","762.4"
"2019-07-04","769.6","770.4","763.7","765.8","3181300","765.8"
"2019-07-05","768.1","772.2","766.1","770.2","3234100","770.2"
"2019-07-08","769.8","771.4","762.8","765.2","3435800","765.2"
"2019-07-09","766","766.5","750.7","753","6018000","753"
"2019-07-10","750","752.5","741.1","743.4","6632200","743.4"
"2019-07-11","740.6","753","737","752","4235100","752"
"2019-07-12","753","756.8","749.1","755.1","3041300","755.1"
"2019-07-16","755.1","755.7","744","748.8","4416900","748.8"
"2019-07-17","743.1","753.5","741.6","752.4","4243100","752.4"
"2019-07-18","747.7","750.5","729.8","731.1","6378300","731.1"
"2019-07-19","728.8","744.3","725.1","743.6","4943700","743.6"
"2019-07-22","745.9","750.9","740","741.4","3271300","741.4"
"2019-07-23","730.1","745.6","729.1","742.5","4564500","742.5"
"2019-07-24","749.3","749.8","743","746.1","3599200","746.1"
"2019-07-25","751.9","752.4","744.1","745.8","3669600","745.8"
"2019-07-26","744","745.5","736.2","736.9","4683100","736.9"
"2019-07-29","735","735.8","726.4","726.9","4234400","726.9"
"2019-07-30","726","754.2","724.4","747.5","8980800","747.5"
"2019-07-31","747.1","779.7","746","776.6","14825000","776.6"
"2019-08-01","771","791.3","769","788.5","8915000","788.5"
"2019-08-02","762.5","766.6","742.7","749.3","9695600","749.3"
"2019-08-05","740.4","740.5","725.2","733.9","5724200","733.9"
"2019-08-06","710.9","735.7","708.3","733.8","7400100","733.8"
"2019-08-07","728.2","731.2","721.2","724","4494200","724"
"2019-08-08","725","732.2","720.4","725.4","4272100","725.4"
"2019-08-09","730","731.3","717.6","726.1","5058900","726.1"
"2019-08-13","716.1","717.2","704.3","705","5757600","705"
"2019-08-14","713.6","729.1","710.7","728.1","5303900","728.1"
"2019-08-15","705","720.8","700","717.5","6396800","717.5"
"2019-08-16","706.1","720.7","701.8","719.9","5765900","719.9"
"2019-08-19","726.4","733","724.5","730","5474200","730"
"2019-08-20","727","729.3","724.3","728.9","3670700","728.9"
"2019-08-21","721.5","725.3","716.8","716.9","4614900","716.9"
"2019-08-22","722","727.1","715.5","719.2","4243000","719.2"
"2019-08-23","714","719","706","711","5616200","711"
"2019-08-26","702.4","705.5","698.8","702.4","6918000","702.4"
"2019-08-27","709.9","715.9","709.2","712","4221100","712"
"2019-08-28","712","717.7","709.5","716.8","3807800","716.8"
"2019-08-29","716.5","721.1","712.9","720.7","3439900","720.7"
"2019-08-30","728","730.5","720.9","729.2","5465400","729.2"
"2019-09-02","729.4","735.6","724.7","735","4035000","735"
"2019-09-03","732.7","742.3","731.6","736.8","3747900","736.8"
"2019-09-04","736","739","727.3","737.7","4236000","737.7"
"2019-09-05","737.7","753","737.7","750.6","6752600","750.6"
"2019-09-06","760","783.6","755.2","778.8","12284700","778.8"
"2019-09-10","787.3","807.8","787.3","804.1","12130300","804.1"
"2019-09-11","806.2","818.5","806.1","815.3","10640800","815.3"
"2019-09-12","820","827","813.6","814.9","8428800","814.9"
"2019-09-13","815","823.3","810.3","822.7","9274000","822.7"
"2019-09-17","815.3","821.7","809","810","7790300","810"
"2019-09-18","810","811.3","800.4","800.4","6748300","800.4"
"2019-09-19","809.7","817.9","807.8","809.1","6669300","809.1"
"2019-09-20","816.2","817","807.4","811.2","6996900","811.2"
"2019-09-24","816","819.2","812.3","813.6","5929400","813.6"
