2428 東証1部 ウェルネット(株)（サービス業）,,,,,
"2017-04-25","1503","1548","1489","1538","411500","1538"
"2017-04-26","1552","1591","1536","1543","372400","1543"
"2017-04-27","1550","1615","1545","1585","403200","1585"
"2017-04-28","1588","1624","1573","1585","310600","1585"
"2017-05-01","1465","1508","1423","1431","773300","1431"
"2017-05-02","1448","1477","1443","1459","330600","1459"
"2017-05-08","1495","1520","1459","1470","328000","1470"
"2017-05-09","1480","1512","1465","1473","303600","1473"
"2017-05-10","1482","1497","1456","1473","321100","1473"
"2017-05-11","1472","1487","1458","1467","178900","1467"
"2017-05-12","1467","1473","1440","1459","224400","1459"
"2017-05-15","1464","1472","1449","1472","128900","1472"
"2017-05-16","1476","1480","1451","1456","195000","1456"
"2017-05-17","1450","1462","1446","1452","117600","1452"
"2017-05-18","1420","1430","1397","1425","294700","1425"
"2017-05-19","1430","1437","1407","1409","234000","1409"
"2017-05-22","1418","1441","1408","1418","234200","1418"
"2017-05-23","1429","1439","1417","1429","102400","1429"
"2017-05-24","1440","1457","1428","1433","215600","1433"
"2017-05-25","1435","1442","1422","1432","123400","1432"
"2017-05-26","1435","1455","1425","1427","198400","1427"
"2017-05-29","1435","1445","1419","1435","173400","1435"
"2017-05-30","1446","1461","1436","1451","291900","1451"
"2017-05-31","1455","1505","1451","1501","441500","1501"
"2017-06-01","1520","1529","1502","1522","273800","1522"
"2017-06-02","1530","1553","1511","1520","532900","1520"
"2017-06-05","1522","1555","1512","1544","357100","1544"
"2017-06-06","1551","1554","1521","1530","570300","1530"
"2017-06-07","1530","1548","1521","1529","339100","1529"
"2017-06-08","1535","1538","1503","1503","540300","1503"
"2017-06-09","1502","1512","1483","1485","237900","1485"
"2017-06-12","1487","1493","1458","1484","203800","1484"
"2017-06-13","1470","1473","1446","1463","311600","1463"
"2017-06-14","1471","1473","1458","1461","199700","1461"
"2017-06-15","1460","1489","1452","1485","252600","1485"
"2017-06-16","1480","1488","1461","1469","562400","1469"
"2017-06-19","1473","1484","1458","1467","228000","1467"
"2017-06-20","1473","1488","1462","1487","451800","1487"
"2017-06-21","1487","1509","1480","1500","320600","1500"
"2017-06-22","1504","1504","1483","1495","227000","1495"
"2017-06-23","1496","1503","1482","1493","269400","1493"
"2017-06-26","1495","1507","1489","1501","297700","1501"
"2017-06-27","1502","1504","1479","1480","724000","1480"
"2017-06-28","1429","1436","1391","1392","621400","1392"
"2017-06-29","1400","1414","1392","1414","272200","1414"
"2017-06-30","1398","1406","1378","1387","270400","1387"
"2017-07-03","1382","1390","1360","1365","265300","1365"
"2017-07-04","1380","1390","1337","1339","319000","1339"
"2017-07-05","1339","1353","1312","1351","312200","1351"
"2017-07-06","1348","1353","1337","1346","167000","1346"
"2017-07-07","1341","1347","1331","1337","185600","1337"
"2017-07-10","1346","1346","1330","1334","146400","1334"
"2017-07-11","1335","1345","1326","1343","139200","1343"
"2017-07-12","1343","1357","1338","1344","147900","1344"
"2017-07-13","1350","1350","1336","1342","126600","1342"
"2017-07-14","1344","1350","1333","1339","140800","1339"
"2017-07-18","1335","1358","1331","1352","217000","1352"
"2017-07-19","1350","1375","1341","1370","176500","1370"
"2017-07-20","1371","1390","1371","1380","145300","1380"
"2017-07-21","1380","1387","1372","1382","122700","1382"
"2017-07-24","1376","1381","1362","1378","149700","1378"
"2017-07-25","1378","1385","1372","1381","98300","1381"
"2017-07-26","1385","1392","1376","1386","116300","1386"
"2017-07-27","1386","1407","1383","1392","166600","1392"
"2017-07-28","1387","1390","1369","1380","142700","1380"
"2017-07-31","1378","1378","1359","1368","140700","1368"
"2017-08-01","1363","1376","1357","1361","131300","1361"
"2017-08-02","1361","1388","1361","1383","212700","1383"
"2017-08-03","1384","1388","1371","1381","132400","1381"
"2017-08-04","1383","1418","1375","1418","303900","1418"
"2017-08-07","1419","1440","1415","1418","232500","1418"
"2017-08-08","1301","1305","1253","1257","966100","1257"
"2017-08-09","1251","1266","1222","1227","749600","1227"
"2017-08-10","1226","1226","1195","1209","503500","1209"
"2017-08-14","1197","1200","1177","1178","413800","1178"
"2017-08-15","1199","1206","1185","1198","258500","1198"
"2017-08-16","1198","1202","1189","1193","252900","1193"
"2017-08-17","1193","1197","1178","1178","250100","1178"
"2017-08-18","1171","1181","1162","1168","242800","1168"
"2017-08-21","1161","1180","1158","1166","303000","1166"
"2017-08-22","1170","1176","1165","1168","131400","1168"
"2017-08-23","1178","1179","1164","1169","130900","1169"
"2017-08-24","1169","1174","1166","1170","103800","1170"
"2017-08-25","1175","1181","1170","1171","156100","1171"
"2017-08-28","1171","1208","1171","1197","533400","1197"
"2017-08-29","1197","1203","1186","1190","243300","1190"
"2017-08-30","1195","1196","1183","1187","183000","1187"
"2017-08-31","1188","1193","1182","1190","184000","1190"
"2017-09-01","1190","1200","1184","1187","194200","1187"
"2017-09-04","1187","1187","1168","1170","223300","1170"
"2017-09-05","1171","1192","1146","1149","441300","1149"
"2017-09-06","1139","1150","1132","1138","300600","1138"
"2017-09-07","1142","1145","1120","1122","384300","1122"
"2017-09-08","1120","1138","1119","1124","276200","1124"
"2017-09-11","1130","1137","1122","1122","227000","1122"
"2017-09-12","1131","1132","1115","1121","439800","1121"
"2017-09-13","1121","1142","1118","1136","494900","1136"
"2017-09-14","1137","1199","1135","1167","455600","1167"
"2017-09-15","1154","1159","1138","1147","282600","1147"
"2017-09-19","1155","1159","1147","1150","136500","1150"
"2017-09-20","1146","1151","1134","1138","183700","1138"
"2017-09-21","1138","1150","1136","1145","168600","1145"
"2017-09-22","1145","1154","1140","1146","132300","1146"
"2017-09-25","1153","1170","1153","1169","166300","1169"
"2017-09-26","1161","1163","1148","1156","147500","1156"
"2017-09-27","1158","1169","1156","1162","115400","1162"
"2017-09-28","1165","1182","1159","1180","150400","1180"
"2017-09-29","1182","1198","1178","1191","190400","1191"
"2017-10-02","1199","1212","1193","1196","219400","1196"
"2017-10-03","1198","1198","1183","1191","179200","1191"
"2017-10-04","1196","1207","1189","1193","140400","1193"
"2017-10-05","1190","1198","1187","1193","99000","1193"
"2017-10-06","1191","1193","1171","1178","200400","1178"
"2017-10-10","1180","1192","1174","1189","115100","1189"
"2017-10-11","1181","1194","1181","1187","69400","1187"
"2017-10-12","1189","1202","1188","1197","168200","1197"
"2017-10-13","1199","1204","1188","1192","105300","1192"
"2017-10-16","1198","1204","1189","1202","138500","1202"
"2017-10-17","1202","1210","1197","1208","124600","1208"
"2017-10-18","1208","1218","1204","1209","120600","1209"
"2017-10-19","1207","1212","1199","1207","102600","1207"
"2017-10-20","1205","1209","1189","1192","254300","1192"
"2017-10-23","1201","1208","1191","1205","169500","1205"
"2017-10-24","1205","1223","1204","1216","141800","1216"
"2017-10-25","1217","1218","1195","1198","165200","1198"
"2017-10-26","1196","1226","1196","1210","168900","1210"
"2017-10-27","1222","1227","1216","1223","126700","1223"
"2017-10-30","1229","1237","1227","1234","153900","1234"
"2017-10-31","1236","1236","1216","1216","177100","1216"
"2017-11-01","1168","1170","1103","1117","1170500","1117"
"2017-11-02","1113","1121","1084","1091","788300","1091"
"2017-11-06","1091","1092","1077","1080","468700","1080"
"2017-11-07","1082","1098","1082","1098","307000","1098"
"2017-11-08","1100","1113","1098","1111","210000","1111"
"2017-11-09","1116","1119","1104","1115","247600","1115"
"2017-11-10","1114","1115","1103","1115","142200","1115"
"2017-11-13","1118","1123","1111","1117","183700","1117"
"2017-11-15","1118","1122","1102","1105","282400","1105"
"2017-11-16","1101","1132","1100","1127","218800","1127"
"2017-11-17","1135","1145","1128","1139","252000","1139"
"2017-11-20","1145","1169","1143","1169","277000","1169"
"2017-11-21","1177","1190","1173","1183","257900","1183"
"2017-11-22","1183","1194","1176","1192","198800","1192"
"2017-11-24","1192","1211","1187","1209","247100","1209"
"2017-11-27","1212","1217","1209","1212","130800","1212"
"2017-11-28","1215","1216","1192","1203","136500","1203"
"2017-11-29","1203","1216","1202","1212","160000","1212"
"2017-11-30","1210","1216","1186","1210","383700","1210"
"2017-12-01","1210","1225","1204","1208","183400","1208"
"2017-12-04","1208","1223","1200","1201","178200","1201"
"2017-12-05","1197","1197","1164","1182","253000","1182"
"2017-12-06","1182","1189","1165","1169","134600","1169"
"2017-12-07","1174","1189","1173","1180","124800","1180"
"2017-12-08","1182","1199","1182","1197","118000","1197"
"2017-12-11","1197","1209","1191","1209","169800","1209"
"2017-12-12","1210","1215","1203","1205","115700","1205"
"2017-12-13","1201","1211","1201","1211","126900","1211"
"2017-12-14","1210","1225","1206","1219","207800","1219"
"2017-12-15","1219","1219","1201","1207","142300","1207"
"2017-12-18","1219","1224","1205","1207","142000","1207"
"2017-12-19","1207","1212","1198","1209","114500","1209"
"2017-12-20","1210","1210","1189","1190","159500","1190"
"2017-12-21","1190","1195","1185","1189","102900","1189"
"2017-12-22","1187","1193","1177","1180","206000","1180"
"2017-12-25","1183","1184","1166","1175","205100","1175"
"2017-12-26","1171","1183","1168","1173","252000","1173"
"2017-12-27","1172","1204","1168","1199","183400","1199"
"2017-12-28","1196","1196","1183","1185","119200","1185"
"2017-12-29","1186","1193","1176","1182","112600","1182"
