7762 東証1部 シチズン時計(株)（精密機器）,,,,,
"2019-07-26","563","565","558","564","1601100","564"
"2019-07-29","557","559","553","554","1285600","554"
"2019-07-30","558","563","554","555","1360900","555"
"2019-07-31","550","556","545","545","2109900","545"
"2019-08-01","544","550","541","546","1587200","546"
"2019-08-02","534","541","531","535","2212100","535"
"2019-08-05","531","532","515","519","2341600","519"
"2019-08-06","506","520","503","519","2572800","519"
"2019-08-07","515","522","511","514","2028800","514"
"2019-08-08","517","531","512","523","2577200","523"
"2019-08-09","481","492","471","485","6225800","485"
"2019-08-13","485","489","475","477","2675500","477"
"2019-08-14","486","492","485","489","2009700","489"
"2019-08-15","479","483","477","482","1743600","482"
"2019-08-16","476","484","474","479","1730700","479"
"2019-08-19","484","491","482","489","1185000","489"
"2019-08-20","488","496","488","494","1262700","494"
"2019-08-21","488","494","488","491","1348300","491"
"2019-08-22","491","494","489","490","1199500","490"
"2019-08-23","486","492","486","487","1302800","487"
"2019-08-26","471","474","467","472","2072000","472"
"2019-08-27","477","482","476","478","1222900","478"
"2019-08-28","478","480","472","474","1267800","474"
"2019-08-29","477","479","470","474","992300","474"
"2019-08-30","484","490","480","484","1176700","484"
"2019-09-02","491","492","484","490","1932500","490"
"2019-09-03","486","498","485","498","1433500","498"
"2019-09-04","497","497","488","494","1212100","494"
"2019-09-05","496","507","495","504","1667700","504"
"2019-09-06","514","515","509","513","1456500","513"
"2019-09-10","524","535","522","533","1682000","533"
"2019-09-11","545","548","531","535","3979200","535"
"2019-09-12","550","553","543","550","2636800","550"
"2019-09-13","554","558","545","553","2592100","553"
"2019-09-17","551","554","546","551","2188600","551"
"2019-09-18","542","542","535","541","2113300","541"
"2019-09-19","538","552","536","543","2459100","543"
"2019-09-20","535","548","535","545","2117000","545"
"2019-09-24","537","546","535","541","1562300","541"
