6384 東証JQS (株)昭和真空（機械）,,,,,
"2018-03-12","2670","2694","2611","2649","51000","2649"
"2018-03-13","2675","2700","2636","2688","106600","2688"
"2018-03-14","2665","2767","2655","2767","155600","2767"
"2018-03-15","2740","2756","2680","2742","70700","2742"
"2018-03-16","2774","2774","2689","2700","56800","2700"
"2018-03-19","2660","2680","2530","2588","96500","2588"
"2018-03-20","2512","2597","2512","2565","39200","2565"
"2018-03-22","2626","2629","2568","2593","33300","2593"
"2018-03-23","2465","2514","2423","2453","97700","2453"
"2018-03-26","2400","2421","2311","2380","146500","2380"
"2018-03-27","2470","2470","2423","2439","78900","2439"
"2018-03-28","2310","2378","2310","2366","70400","2366"
"2018-03-29","2399","2399","2320","2350","58600","2350"
"2018-03-30","2376","2381","2342","2356","68900","2356"
"2018-04-02","2363","2409","2350","2352","50800","2352"
"2018-04-03","2337","2446","2313","2410","109900","2410"
"2018-04-04","2418","2426","2300","2344","132300","2344"
"2018-04-05","2351","2351","2285","2290","82900","2290"
"2018-04-06","2291","2335","2285","2319","54100","2319"
"2018-04-09","2299","2311","2267","2271","45700","2271"
"2018-04-10","2260","2295","2216","2286","48000","2286"
"2018-04-11","2315","2347","2285","2294","49900","2294"
"2018-04-12","2284","2317","2257","2293","52900","2293"
"2018-04-13","2286","2332","2282","2296","47200","2296"
"2018-04-16","2300","2308","2221","2232","58800","2232"
"2018-04-17","2223","2250","2170","2205","58900","2205"
"2018-04-18","2184","2263","2177","2239","45000","2239"
"2018-04-19","2240","2262","2215","2244","23800","2244"
"2018-04-20","2236","2260","2224","2242","19400","2242"
"2018-04-23","2240","2265","2223","2255","27100","2255"
"2018-04-24","2267","2312","2236","2312","54100","2312"
"2018-04-25","2291","2300","2260","2274","44100","2274"
"2018-04-26","2303","2322","2268","2280","43100","2280"
"2018-04-27","2310","2310","2261","2265","45700","2265"
"2018-05-01","2257","2287","2255","2264","39800","2264"
"2018-05-02","2264","2353","2263","2345","57600","2345"
"2018-05-07","2345","2383","2306","2337","44900","2337"
"2018-05-08","2372","2383","2329","2351","44500","2351"
"2018-05-09","2351","2355","2308","2349","57600","2349"
"2018-05-10","2351","2378","2244","2354","127600","2354"
"2018-05-11","1921","2138","1920","2050","355400","2050"
"2018-05-14","2043","2075","2006","2022","89400","2022"
"2018-05-15","2026","2050","1979","1980","121000","1980"
"2018-05-16","1970","1970","1897","1917","159200","1917"
"2018-05-17","1909","1945","1880","1915","86600","1915"
"2018-05-18","1911","1925","1874","1889","104200","1889"
"2018-05-21","1920","1982","1912","1968","71500","1968"
"2018-05-22","1998","2012","1937","1946","84900","1946"
"2018-05-23","1946","1978","1930","1952","43300","1952"
"2018-05-24","1932","1947","1912","1913","55300","1913"
"2018-05-25","1900","1948","1884","1924","44800","1924"
"2018-05-28","1924","1934","1911","1922","22500","1922"
"2018-05-29","1908","1928","1887","1924","49500","1924"
"2018-05-30","1884","1896","1851","1856","53000","1856"
"2018-05-31","1866","1882","1841","1865","28200","1865"
"2018-06-01","1862","1877","1847","1851","31100","1851"
"2018-06-04","1858","1872","1841","1850","31500","1850"
"2018-06-05","1850","1865","1805","1820","65700","1820"
"2018-06-06","1817","1838","1804","1835","35700","1835"
"2018-06-07","1824","1881","1824","1850","42100","1850"
"2018-06-08","1841","1850","1830","1845","28000","1845"
"2018-06-11","1846","1860","1825","1850","23700","1850"
"2018-06-12","1860","1864","1839","1862","16700","1862"
"2018-06-13","1888","1888","1866","1884","16300","1884"
"2018-06-14","1889","1896","1875","1891","34400","1891"
"2018-06-15","1899","1899","1832","1845","52500","1845"
"2018-06-18","1832","1833","1734","1773","115400","1773"
"2018-06-19","1760","1760","1670","1680","84800","1680"
"2018-06-20","1680","1712","1616","1712","51500","1712"
"2018-06-21","1705","1757","1702","1741","27300","1741"
"2018-06-22","1721","1750","1696","1727","21100","1727"
"2018-06-25","1704","1745","1697","1700","25700","1700"
"2018-06-26","1636","1729","1636","1715","27000","1715"
"2018-06-27","1684","1716","1662","1694","26900","1694"
"2018-06-28","1679","1720","1653","1711","24400","1711"
"2018-06-29","1728","1737","1700","1734","15200","1734"
"2018-07-02","1739","1761","1699","1704","23600","1704"
"2018-07-03","1777","1777","1696","1708","31500","1708"
"2018-07-04","1681","1681","1643","1655","31500","1655"
"2018-07-05","1647","1670","1607","1607","36200","1607"
"2018-07-06","1640","1672","1616","1672","21000","1672"
"2018-07-09","1694","1747","1674","1733","24000","1733"
"2018-07-10","1747","1777","1740","1748","19600","1748"
"2018-07-11","1746","1746","1696","1720","8100","1720"
"2018-07-12","1706","1725","1692","1715","8900","1715"
"2018-07-13","1740","1747","1718","1738","12900","1738"
"2018-07-17","1750","1754","1719","1731","13300","1731"
"2018-07-18","1734","1776","1711","1757","22200","1757"
"2018-07-19","1751","1780","1751","1777","10300","1777"
"2018-07-20","1762","1786","1757","1771","20500","1771"
"2018-07-23","1771","1860","1747","1847","46000","1847"
"2018-07-24","1878","1925","1824","1912","46500","1912"
"2018-07-25","1900","1903","1864","1882","17400","1882"
"2018-07-26","1899","1899","1844","1856","14400","1856"
"2018-07-27","1880","1880","1851","1868","5700","1868"
"2018-07-30","1848","1869","1837","1857","15900","1857"
"2018-07-31","1830","1871","1824","1850","16100","1850"
"2018-08-01","1852","1864","1840","1846","11700","1846"
"2018-08-02","1852","1882","1852","1852","9000","1852"
"2018-08-03","1854","1854","1809","1809","12400","1809"
"2018-08-06","1849","1849","1808","1826","16400","1826"
"2018-08-07","1837","1859","1818","1840","7700","1840"
"2018-08-08","1880","1896","1847","1889","25800","1889"
"2018-08-09","1896","1896","1866","1893","20700","1893"
"2018-08-10","1693","1693","1614","1614","145700","1614"
"2018-08-13","1590","1590","1474","1478","102500","1478"
"2018-08-14","1485","1515","1475","1510","51800","1510"
"2018-08-15","1498","1500","1431","1440","73200","1440"
"2018-08-16","1412","1450","1368","1397","88700","1397"
"2018-08-17","1420","1439","1397","1413","46800","1413"
"2018-08-20","1401","1410","1347","1368","66200","1368"
"2018-08-21","1428","1428","1349","1365","53500","1365"
"2018-08-22","1359","1441","1359","1437","23500","1437"
"2018-08-23","1410","1470","1410","1462","22700","1462"
"2018-08-24","1454","1464","1445","1458","21300","1458"
"2018-08-27","1458","1534","1458","1525","27700","1525"
"2018-08-28","1548","1550","1507","1518","31000","1518"
"2018-08-29","1530","1546","1520","1535","14600","1535"
"2018-08-30","1535","1541","1524","1528","25400","1528"
"2018-08-31","1521","1548","1521","1538","20000","1538"
"2018-09-03","1530","1530","1481","1488","21900","1488"
"2018-09-04","1490","1521","1488","1511","9400","1511"
"2018-09-05","1511","1548","1511","1531","21200","1531"
"2018-09-06","1535","1535","1501","1518","13800","1518"
"2018-09-07","1493","1500","1470","1490","18900","1490"
"2018-09-10","1490","1520","1490","1496","10800","1496"
"2018-09-11","1509","1509","1471","1482","15100","1482"
"2018-09-12","1482","1482","1427","1436","19000","1436"
"2018-09-13","1428","1466","1428","1443","58300","1443"
"2018-09-14","1450","1535","1450","1529","30800","1529"
"2018-09-18","1527","1551","1496","1543","27000","1543"
"2018-09-19","1538","1567","1536","1537","20400","1537"
"2018-09-20","1535","1539","1512","1536","14500","1536"
"2018-09-21","1532","1555","1532","1548","25200","1548"
"2018-09-25","1545","1549","1529","1544","8300","1544"
"2018-09-26","1541","1555","1537","1546","19400","1546"
"2018-09-27","1545","1545","1508","1518","22500","1518"
"2018-09-28","1523","1535","1515","1521","13200","1521"
"2018-10-01","1517","1594","1517","1584","35500","1584"
"2018-10-02","1588","1597","1545","1550","16100","1550"
"2018-10-03","1543","1551","1526","1541","17900","1541"
"2018-10-04","1542","1573","1520","1539","20900","1539"
"2018-10-05","1531","1547","1507","1523","20500","1523"
"2018-10-09","1524","1524","1498","1500","16400","1500"
"2018-10-10","1492","1504","1467","1499","17300","1499"
"2018-10-11","1440","1455","1421","1438","27200","1438"
"2018-10-12","1429","1488","1428","1481","19700","1481"
"2018-10-15","1469","1478","1453","1460","17700","1460"
"2018-10-16","1450","1468","1445","1468","14300","1468"
"2018-10-17","1477","1515","1471","1479","13300","1479"
"2018-10-18","1485","1498","1462","1467","10500","1467"
"2018-10-19","1452","1482","1452","1463","8700","1463"
"2018-10-22","1463","1512","1456","1493","14500","1493"
"2018-10-23","1485","1487","1448","1448","9900","1448"
"2018-10-24","1451","1471","1435","1457","12100","1457"
"2018-10-25","1406","1416","1360","1382","30300","1382"
"2018-10-26","1389","1409","1287","1305","39800","1305"
"2018-10-29","1300","1335","1250","1252","39000","1252"
"2018-10-30","1192","1269","1192","1260","53800","1260"
"2018-10-31","1318","1350","1290","1349","29300","1349"
"2018-11-01","1319","1385","1319","1378","14600","1378"
"2018-11-02","1391","1439","1386","1415","20600","1415"
"2018-11-05","1410","1445","1410","1421","10800","1421"
"2018-11-06","1421","1427","1403","1413","6500","1413"
"2018-11-07","1413","1426","1393","1419","9300","1419"
"2018-11-08","1431","1452","1408","1410","17900","1410"
"2018-11-09","1400","1419","1388","1418","8000","1418"
"2018-11-12","1400","1432","1391","1408","11700","1408"
"2018-11-13","1370","1383","1348","1378","11400","1378"
"2018-11-14","1377","1390","1331","1350","20400","1350"
"2018-11-15","1340","1382","1292","1292","43000","1292"
"2018-11-16","1283","1300","1265","1271","23500","1271"
"2018-11-19","1256","1340","1244","1331","16600","1331"
"2018-11-20","1301","1317","1287","1294","10500","1294"
"2018-11-21","1274","1283","1241","1268","12300","1268"
"2018-11-22","1288","1307","1264","1300","9600","1300"
"2018-11-26","1302","1337","1298","1324","8700","1324"
"2018-11-27","1352","1354","1330","1342","11900","1342"
"2018-11-28","1339","1365","1339","1356","9400","1356"
"2018-11-29","1359","1390","1347","1369","23800","1369"
"2018-11-30","1361","1389","1360","1388","17200","1388"
"2018-12-03","1389","1420","1389","1398","14900","1398"
"2018-12-04","1395","1395","1360","1374","15400","1374"
"2018-12-05","1360","1377","1340","1347","24500","1347"
"2018-12-06","1359","1359","1307","1320","18300","1320"
"2018-12-07","1301","1308","1290","1300","31200","1300"
"2018-12-10","1290","1290","1261","1261","14600","1261"
"2018-12-11","1269","1284","1231","1242","21900","1242"
"2018-12-12","1231","1273","1231","1270","11000","1270"
"2018-12-13","1262","1295","1261","1271","27300","1271"
"2018-12-14","1262","1269","1225","1228","25200","1228"
"2018-12-17","1222","1226","1201","1201","27000","1201"
"2018-12-18","1192","1198","1160","1160","45400","1160"
"2018-12-19","1169","1185","1151","1163","19200","1163"
"2018-12-20","1144","1170","1100","1121","55600","1121"
"2018-12-21","1101","1104","1040","1053","83100","1053"
"2018-12-25","980","1017","971","980","97400","980"
"2018-12-26","1019","1053","1009","1026","31300","1026"
"2018-12-27","1116","1136","1086","1104","37400","1104"
"2018-12-28","1091","1130","1091","1109","18800","1109"
