8893 東証JQS (株)新日本建物（不動産業）,,,,,
"2017-06-21","234","237","231","234","104100","234"
"2017-06-22","233","237","233","237","47400","237"
"2017-06-23","237","237","222","230","180800","230"
"2017-06-26","230","232","230","231","36700","231"
"2017-06-27","233","235","231","232","35600","232"
"2017-06-28","232","232","227","230","78400","230"
"2017-06-29","228","231","228","230","37100","230"
"2017-06-30","230","232","227","231","56700","231"
"2017-07-03","232","232","229","231","35400","231"
"2017-07-04","231","234","226","227","90900","227"
"2017-07-05","227","229","222","225","147500","225"
"2017-07-06","222","224","208","222","216000","222"
"2017-07-07","219","222","218","220","96300","220"
"2017-07-10","220","222","219","220","62300","220"
"2017-07-11","220","223","219","221","38700","221"
"2017-07-12","220","222","219","220","44000","220"
"2017-07-13","222","222","219","220","44800","220"
"2017-07-14","220","224","218","221","72100","221"
"2017-07-18","221","221","218","219","90400","219"
"2017-07-19","218","220","218","220","39600","220"
"2017-07-20","220","221","219","219","24600","219"
"2017-07-21","219","220","219","220","29800","220"
"2017-07-24","220","221","219","221","34800","221"
"2017-07-25","222","226","219","224","98000","224"
"2017-07-26","224","224","221","223","37500","223"
"2017-07-27","224","224","222","222","54000","222"
"2017-07-28","223","223","217","218","91000","218"
"2017-07-31","218","219","217","218","46800","218"
"2017-08-01","218","218","215","215","106800","215"
"2017-08-02","216","220","215","219","40300","219"
"2017-08-03","222","227","220","224","135300","224"
"2017-08-04","230","231","224","229","178900","229"
"2017-08-07","231","232","226","227","129100","227"
"2017-08-08","231","232","228","230","173400","230"
"2017-08-09","228","230","225","226","78600","226"
"2017-08-10","226","226","220","223","77000","223"
"2017-08-14","219","219","214","214","128600","214"
"2017-08-15","212","218","212","218","80100","218"
"2017-08-16","219","219","215","216","64000","216"
"2017-08-17","219","219","215","217","77600","217"
"2017-08-18","215","215","211","215","90000","215"
"2017-08-21","215","215","207","210","143200","210"
"2017-08-22","209","212","209","212","23600","212"
"2017-08-23","212","214","211","212","34900","212"
"2017-08-24","211","215","211","214","19000","214"
"2017-08-25","215","217","215","215","23500","215"
"2017-08-28","217","223","215","219","45200","219"
"2017-08-29","217","219","216","217","27700","217"
"2017-08-30","218","219","215","217","29600","217"
"2017-08-31","216","220","216","218","33800","218"
"2017-09-01","218","239","218","232","493700","232"
"2017-09-04","232","238","225","233","374600","233"
"2017-09-05","230","232","222","223","136800","223"
"2017-09-06","220","225","220","223","113800","223"
"2017-09-07","225","226","222","226","112900","226"
"2017-09-08","223","226","222","224","37100","224"
"2017-09-11","225","236","223","232","227600","232"
"2017-09-12","238","239","229","232","150300","232"
"2017-09-13","236","236","231","231","35100","231"
"2017-09-14","229","229","225","228","69500","228"
"2017-09-15","225","231","225","230","44400","230"
"2017-09-19","231","235","231","233","91900","233"
"2017-09-20","235","236","232","232","86000","232"
"2017-09-21","233","237","233","234","97300","234"
"2017-09-22","233","234","230","233","85600","233"
"2017-09-25","237","241","234","238","424500","238"
"2017-09-26","240","240","235","237","304300","237"
"2017-09-27","236","244","236","244","208400","244"
"2017-09-28","246","264","241","257","983100","257"
"2017-09-29","257","262","255","257","285900","257"
"2017-10-02","258","263","257","261","192800","261"
"2017-10-03","263","268","262","265","334400","265"
"2017-10-04","268","272","265","269","381100","269"
"2017-10-05","266","268","255","255","377100","255"
"2017-10-06","249","256","248","254","182700","254"
"2017-10-10","255","258","254","257","60500","257"
"2017-10-11","258","269","258","266","460200","266"
"2017-10-12","269","275","255","260","834600","260"
"2017-10-13","262","262","254","257","208900","257"
"2017-10-16","258","258","254","256","81900","256"
"2017-10-17","262","262","233","239","1238000","239"
"2017-10-18","241","250","239","244","309100","244"
"2017-10-19","245","247","244","246","102900","246"
"2017-10-20","246","246","240","242","134200","242"
"2017-10-23","242","244","239","243","118100","243"
"2017-10-24","243","244","240","244","59100","244"
"2017-10-25","246","247","240","242","128000","242"
"2017-10-26","242","245","242","244","41200","244"
"2017-10-27","246","248","245","248","82600","248"
"2017-10-30","250","250","244","245","95000","245"
"2017-10-31","243","248","241","244","101300","244"
"2017-11-01","245","252","245","248","135200","248"
"2017-11-02","249","251","247","249","149400","249"
"2017-11-06","254","264","252","263","391500","263"
"2017-11-07","247","251","243","245","543300","245"
"2017-11-08","245","245","240","241","239400","241"
"2017-11-09","241","244","238","239","227100","239"
"2017-11-10","237","241","236","241","79300","241"
"2017-11-13","242","243","236","240","79400","240"
"2017-11-15","238","238","221","235","506500","235"
"2017-11-16","230","236","230","235","73900","235"
"2017-11-17","236","239","233","234","118300","234"
"2017-11-20","236","240","235","239","81500","239"
"2017-11-21","240","244","240","244","51400","244"
"2017-11-22","244","247","244","247","124700","247"
"2017-11-24","245","248","245","246","97300","246"
"2017-11-27","246","248","243","245","95500","245"
"2017-11-28","245","245","237","241","120000","241"
"2017-11-29","242","244","241","242","47400","242"
"2017-11-30","243","243","237","239","63100","239"
"2017-12-01","240","240","237","240","69200","240"
"2017-12-04","239","240","237","238","41100","238"
"2017-12-05","238","238","233","235","75200","235"
"2017-12-06","234","236","232","233","108600","233"
"2017-12-07","233","241","233","241","95800","241"
"2017-12-08","241","244","239","243","86400","243"
"2017-12-11","241","242","239","240","23700","240"
"2017-12-12","242","243","240","243","36800","243"
"2017-12-13","244","245","239","242","87200","242"
"2017-12-14","241","243","240","242","59300","242"
"2017-12-15","242","243","240","242","37200","242"
"2017-12-18","244","244","240","243","92200","243"
"2017-12-19","243","243","241","241","45800","241"
"2017-12-20","241","242","240","241","61400","241"
"2017-12-21","240","241","239","239","86100","239"
"2017-12-22","240","242","238","240","98100","240"
"2017-12-25","240","240","237","238","131900","238"
"2017-12-26","239","239","234","237","86100","237"
"2017-12-27","237","242","236","242","80300","242"
"2017-12-28","242","242","238","241","54300","241"
"2017-12-29","241","242","239","241","45500","241"
