1898 東証1部 世紀東急工業(株)（建設業）,,,,,
"2015-09-02","525","553","522","538","205000","538"
"2015-09-03","542","551","537","537","131500","537"
"2015-09-04","537","541","520","526","303300","526"
"2015-09-07","516","535","512","516","260200","516"
"2015-09-08","513","528","507","507","174400","507"
"2015-09-09","522","533","520","529","288200","529"
"2015-09-10","519","546","519","544","265400","544"
"2015-09-11","541","548","537","538","223200","538"
"2015-09-14","540","541","528","531","127700","531"
"2015-09-15","536","537","527","528","132500","528"
"2015-09-16","535","544","529","540","199500","540"
"2015-09-17","546","551","540","545","204700","545"
"2015-09-18","538","547","529","534","146800","534"
"2015-09-24","525","537","524","524","188900","524"
"2015-09-25","540","541","528","541","144600","541"
"2015-09-28","541","555","537","546","196600","546"
"2015-09-29","537","539","516","518","222200","518"
"2015-09-30","528","532","518","528","187800","528"
"2015-10-01","537","554","537","549","390700","549"
"2015-10-02","545","557","543","555","224700","555"
"2015-10-05","558","563","554","560","216200","560"
"2015-10-06","561","569","558","560","211900","560"
"2015-10-07","562","567","559","567","181000","567"
"2015-10-08","565","580","561","574","296700","574"
"2015-10-09","578","594","578","593","412500","593"
"2015-10-13","596","610","596","602","408300","602"
"2015-10-14","597","605","587","588","390000","588"
"2015-10-15","581","610","581","604","432700","604"
"2015-10-16","609","611","595","599","282300","599"
"2015-10-19","593","604","588","603","143600","603"
"2015-10-20","601","604","594","598","95700","598"
"2015-10-21","594","612","594","611","311400","611"
"2015-10-22","610","617","603","607","166400","607"
"2015-10-23","619","619","608","609","271300","609"
"2015-10-26","615","619","605","607","142700","607"
"2015-10-27","609","611","588","591","205300","591"
"2015-10-28","597","599","591","594","129300","594"
"2015-10-29","598","602","592","601","432900","601"
"2015-10-30","601","602","593","595","166500","595"
"2015-11-02","594","600","587","589","202700","589"
"2015-11-04","597","599","575","580","246200","580"
"2015-11-05","581","595","581","586","149700","586"
"2015-11-06","594","596","582","593","147400","593"
"2015-11-09","593","600","593","598","219700","598"
"2015-11-10","610","645","609","634","1099100","634"
"2015-11-11","634","644","630","632","431200","632"
"2015-11-12","629","634","624","626","331600","626"
"2015-11-13","619","632","608","626","298400","626"
"2015-11-16","606","619","602","609","213300","609"
"2015-11-17","611","627","611","619","183400","619"
"2015-11-18","629","636","607","607","304300","607"
"2015-11-19","617","625","611","618","231500","618"
"2015-11-20","623","623","611","618","94500","618"
"2015-11-24","620","620","612","613","136900","613"
"2015-11-25","617","620","613","614","110100","614"
"2015-11-26","618","619","610","612","105400","612"
"2015-11-27","617","624","616","622","210800","622"
"2015-11-30","624","634","624","633","376700","633"
"2015-12-01","635","641","635","640","238400","640"
"2015-12-02","643","650","639","648","406200","648"
"2015-12-03","648","650","641","647","234800","647"
"2015-12-04","644","650","640","644","237300","644"
"2015-12-07","650","652","639","640","159300","640"
"2015-12-08","649","655","642","655","474100","655"
"2015-12-09","653","653","631","640","335200","640"
"2015-12-10","635","642","632","632","112100","632"
"2015-12-11","631","639","631","633","119800","633"
"2015-12-14","621","633","619","632","136300","632"
"2015-12-15","642","642","619","620","103200","620"
"2015-12-16","629","632","624","632","101500","632"
"2015-12-17","639","647","639","642","145200","642"
"2015-12-18","642","649","641","642","247200","642"
"2015-12-21","642","642","626","630","144300","630"
"2015-12-22","630","630","620","621","199200","621"
"2015-12-24","629","629","605","607","176400","607"
"2015-12-25","604","609","585","595","169000","595"
"2015-12-28","595","605","593","603","151400","603"
"2015-12-29","609","614","596","614","91100","614"
"2015-12-30","618","618","607","612","70100","612"
