7971 東証1部 東リ(株)（化学）,,,,,
"2019-03-19","274","274","265","267","56000","267"
"2019-03-20","269","272","267","270","36400","270"
"2019-03-22","272","272","268","271","32100","271"
"2019-03-25","270","271","262","262","66300","262"
"2019-03-26","264","283","264","283","133200","283"
"2019-03-27","275","279","273","277","66000","277"
"2019-03-28","276","276","266","268","57700","268"
"2019-03-29","272","272","266","266","22200","266"
"2019-04-01","266","279","266","277","65500","277"
"2019-04-02","279","280","275","275","33600","275"
"2019-04-03","275","277","272","276","42800","276"
"2019-04-04","274","277","274","274","33600","274"
"2019-04-05","275","275","272","274","22800","274"
"2019-04-08","275","275","269","271","18600","271"
"2019-04-09","271","272","268","271","24100","271"
"2019-04-10","265","267","262","266","30400","266"
"2019-04-11","266","266","264","264","15100","264"
"2019-04-12","266","266","260","261","22600","261"
"2019-04-15","267","274","265","274","66400","274"
"2019-04-16","270","270","264","269","42500","269"
"2019-04-17","269","270","265","267","27300","267"
"2019-04-18","263","265","262","263","47300","263"
"2019-04-19","264","264","261","261","9300","261"
"2019-04-22","261","262","261","261","38600","261"
"2019-04-23","261","261","259","260","12100","260"
"2019-04-24","262","266","260","260","48300","260"
"2019-04-25","259","263","259","262","56100","262"
"2019-04-26","260","262","259","260","48100","260"
"2019-05-07","258","262","258","258","26600","258"
"2019-05-08","254","266","252","261","119400","261"
"2019-05-09","261","262","257","259","84700","259"
"2019-05-10","257","262","255","255","73400","255"
"2019-05-13","257","257","251","251","42000","251"
"2019-05-14","248","254","246","254","36700","254"
"2019-05-15","252","254","252","253","51800","253"
"2019-05-16","252","254","252","254","17600","254"
"2019-05-17","256","260","254","259","54200","259"
"2019-05-20","260","260","257","258","30800","258"
"2019-05-21","256","260","256","259","16500","259"
"2019-05-22","259","260","255","255","21400","255"
"2019-05-23","255","259","254","254","26600","254"
"2019-05-24","254","257","253","256","34500","256"
"2019-05-27","256","256","255","256","14100","256"
"2019-05-28","255","257","253","253","22500","253"
"2019-05-29","252","253","250","250","35500","250"
"2019-05-30","249","253","249","253","21800","253"
"2019-05-31","250","253","249","251","24300","251"
"2019-06-03","250","251","247","247","19200","247"
"2019-06-04","245","250","245","249","31700","249"
"2019-06-05","252","254","248","253","36300","253"
"2019-06-06","253","253","252","252","19300","252"
"2019-06-07","251","253","248","250","20900","250"
"2019-06-10","253","253","250","252","24600","252"
"2019-06-11","252","253","252","253","24100","253"
"2019-06-12","254","254","251","251","22400","251"
"2019-06-13","250","252","250","250","24800","250"
"2019-06-14","255","255","248","248","95700","248"
"2019-06-17","247","249","247","247","52000","247"
"2019-06-18","247","250","246","246","61300","246"
"2019-06-19","247","247","243","243","61700","243"
"2019-06-20","244","246","242","242","63700","242"
"2019-06-21","245","246","237","237","174500","237"
"2019-06-24","239","242","238","241","37800","241"
"2019-06-25","242","244","239","239","43100","239"
"2019-06-26","240","241","239","240","39700","240"
"2019-06-27","243","243","240","240","54600","240"
"2019-06-28","240","241","239","239","55500","239"
"2019-07-01","242","244","238","242","155400","242"
"2019-07-02","242","243","240","242","159000","242"
"2019-07-03","242","243","240","241","99200","241"
"2019-07-04","242","268","242","261","409000","261"
"2019-07-05","264","264","255","258","146600","258"
"2019-07-08","260","260","253","253","72300","253"
"2019-07-09","252","254","251","251","41300","251"
"2019-07-10","251","252","250","250","56000","250"
"2019-07-11","251","253","250","252","48900","252"
"2019-07-12","254","254","251","252","75200","252"
"2019-07-16","255","259","253","259","155100","259"
"2019-07-17","258","258","252","255","51800","255"
"2019-07-18","254","254","250","250","75400","250"
"2019-07-19","250","253","250","252","63900","252"
"2019-07-22","253","254","248","250","73300","250"
"2019-07-23","252","253","251","253","40900","253"
"2019-07-24","256","257","252","253","75900","253"
"2019-07-25","253","254","252","254","41600","254"
"2019-07-26","252","254","252","254","24400","254"
"2019-07-29","254","254","251","254","65300","254"
"2019-07-30","256","256","252","254","50500","254"
"2019-07-31","253","264","253","255","136500","255"
"2019-08-01","255","258","253","255","70600","255"
"2019-08-02","252","255","248","249","88800","249"
"2019-08-05","249","249","242","244","60400","244"
"2019-08-06","240","243","240","243","66800","243"
"2019-08-07","243","245","242","244","52200","244"
"2019-08-08","243","245","243","244","16400","244"
"2019-08-09","244","245","242","243","38000","243"
"2019-08-13","241","244","241","243","39200","243"
"2019-08-14","246","247","243","247","65400","247"
"2019-08-15","243","245","241","244","39500","244"
"2019-08-16","244","244","243","243","16100","243"
"2019-08-19","243","244","243","243","23000","243"
"2019-08-20","243","244","242","244","24900","244"
"2019-08-21","243","244","241","241","39400","241"
"2019-08-22","243","243","241","243","19200","243"
"2019-08-23","243","243","242","243","18000","243"
"2019-08-26","240","242","240","240","60700","240"
"2019-08-27","242","242","239","239","31700","239"
"2019-08-28","239","240","239","240","28300","240"
"2019-08-29","240","242","239","241","33900","241"
"2019-08-30","242","243","240","242","45100","242"
"2019-09-02","240","242","240","241","15800","241"
"2019-09-03","241","244","240","243","22400","243"
"2019-09-04","241","243","241","241","33700","241"
"2019-09-05","243","244","242","244","48600","244"
"2019-09-06","245","248","242","243","56000","243"
"2019-09-10","247","251","245","248","76100","248"
"2019-09-11","248","255","248","255","91900","255"
"2019-09-12","256","257","253","255","95000","255"
"2019-09-13","256","256","252","255","147800","255"
"2019-09-17","259","259","255","258","78400","258"
"2019-09-18","259","259","255","256","35800","256"
"2019-09-19","255","258","255","258","51900","258"
"2019-09-20","260","260","257","258","40900","258"
"2019-09-24","260","260","258","259","82300","259"
