8893 東証JQS (株)新日本建物（不動産業）,,,,,
"2018-09-04","320","324","316","316","164000","316"
"2018-09-05","317","321","311","313","143500","313"
"2018-09-06","313","313","301","310","256800","310"
"2018-09-07","308","308","302","303","165000","303"
"2018-09-10","301","309","301","303","120100","303"
"2018-09-11","302","307","301","305","100900","305"
"2018-09-12","303","304","289","292","367600","292"
"2018-09-13","292","297","291","294","140100","294"
"2018-09-14","300","303","296","302","162300","302"
"2018-09-18","299","304","295","299","242100","299"
"2018-09-19","305","308","302","306","145300","306"
"2018-09-20","306","306","301","303","67300","303"
"2018-09-21","307","310","305","309","93500","309"
"2018-09-25","311","315","305","312","140100","312"
"2018-09-26","312","316","309","312","108000","312"
"2018-09-27","309","310","301","305","193600","305"
"2018-09-28","306","309","302","309","83700","309"
"2018-10-01","310","311","307","309","53200","309"
"2018-10-02","308","309","301","301","162700","301"
"2018-10-03","302","302","297","297","134100","297"
"2018-10-04","295","300","295","297","93600","297"
"2018-10-05","297","304","296","299","126000","299"
"2018-10-09","300","300","290","292","170600","292"
"2018-10-10","296","297","289","294","79500","294"
"2018-10-11","275","284","275","278","376100","278"
"2018-10-12","272","288","272","288","237900","288"
"2018-10-15","285","286","275","276","184800","276"
"2018-10-16","278","281","274","277","179800","277"
"2018-10-17","280","285","279","280","132700","280"
"2018-10-18","280","285","278","281","105500","281"
"2018-10-19","277","281","277","280","66600","280"
"2018-10-22","279","280","274","274","177500","274"
"2018-10-23","275","276","259","260","483500","260"
"2018-10-24","262","267","255","263","312300","263"
"2018-10-25","255","261","250","252","307600","252"
"2018-10-26","254","256","243","244","357800","244"
"2018-10-29","243","247","236","236","220600","236"
"2018-10-30","232","246","232","245","225000","245"
"2018-10-31","246","255","246","252","182300","252"
"2018-11-01","251","262","250","262","238800","262"
"2018-11-02","261","272","261","271","247200","271"
"2018-11-05","270","277","267","273","180700","273"
"2018-11-06","277","277","269","271","137400","271"
"2018-11-07","274","277","270","273","208900","273"
"2018-11-08","278","281","276","279","177300","279"
"2018-11-09","277","284","275","283","284400","283"
"2018-11-12","275","275","259","261","444000","261"
"2018-11-13","255","265","254","264","256000","264"
"2018-11-14","261","264","258","259","175000","259"
"2018-11-15","255","259","255","258","121300","258"
"2018-11-16","256","259","253","253","243000","253"
"2018-11-19","258","275","258","270","414900","270"
"2018-11-20","265","270","263","265","184800","265"
"2018-11-21","262","273","262","269","142900","269"
"2018-11-22","269","270","264","267","121400","267"
"2018-11-26","272","281","267","275","260900","275"
"2018-11-27","274","276","274","274","87400","274"
"2018-11-28","274","276","271","271","130800","271"
"2018-11-29","273","276","271","274","149300","274"
"2018-11-30","275","275","272","275","116700","275"
"2018-12-03","276","283","276","281","151600","281"
"2018-12-04","280","281","269","269","280400","269"
"2018-12-05","264","272","264","271","143300","271"
"2018-12-06","271","271","261","264","262300","264"
"2018-12-07","269","269","259","269","168200","269"
"2018-12-10","262","265","257","257","202600","257"
"2018-12-11","257","259","250","257","286100","257"
"2018-12-12","256","262","255","262","80500","262"
"2018-12-13","263","268","260","268","166400","268"
"2018-12-14","262","265","257","258","117300","258"
"2018-12-17","253","256","249","249","232000","249"
"2018-12-18","245","247","241","241","244400","241"
"2018-12-19","241","247","240","243","217900","243"
"2018-12-20","239","241","227","232","394100","232"
"2018-12-21","226","229","213","218","440000","218"
"2018-12-25","204","209","200","201","569500","201"
"2018-12-26","204","216","204","207","406500","207"
"2018-12-27","229","229","220","227","285100","227"
"2018-12-28","222","227","222","226","109700","226"
