8893 東証JQS (株)新日本建物（不動産業）,,,,,
"2019-08-23","356","357","353","357","68600","357"
"2019-08-26","353","355","349","352","117600","352"
"2019-08-27","356","356","349","350","81300","350"
"2019-08-28","349","351","346","351","54100","351"
"2019-08-29","355","355","346","347","69400","347"
"2019-08-30","349","353","347","353","57100","353"
"2019-09-02","350","354","350","351","62300","351"
"2019-09-03","353","353","350","352","37000","352"
"2019-09-04","352","354","349","352","39700","352"
"2019-09-05","353","355","353","353","37900","353"
"2019-09-06","354","354","350","350","79900","350"
"2019-09-10","359","362","355","356","118800","356"
"2019-09-11","359","359","354","354","167800","354"
"2019-09-12","356","357","354","355","98400","355"
"2019-09-13","355","358","351","352","138200","352"
"2019-09-17","353","358","350","353","223500","353"
"2019-09-18","353","358","352","356","335000","356"
"2019-09-19","358","359","356","359","85000","359"
"2019-09-20","359","361","358","358","207300","358"
"2019-09-24","360","363","359","359","139600","359"
