1898 東証1部 世紀東急工業(株)（建設業）,,,,,
"2019-07-04","656","660","650","653","111200","653"
"2019-07-05","653","653","643","646","46900","646"
"2019-07-08","642","642","637","639","56400","639"
"2019-07-09","639","645","628","632","55800","632"
"2019-07-10","626","635","626","631","60700","631"
"2019-07-11","633","644","633","642","32600","642"
"2019-07-12","648","649","638","639","26500","639"
"2019-07-16","639","641","630","632","45200","632"
"2019-07-17","626","633","625","627","35900","627"
"2019-07-18","626","628","613","613","74900","613"
"2019-07-19","615","626","615","626","31900","626"
"2019-07-22","625","629","620","620","39800","620"
"2019-07-23","621","625","620","622","33600","622"
"2019-07-24","625","632","622","631","47800","631"
"2019-07-25","629","635","626","630","48300","630"
"2019-07-26","636","636","625","625","49000","625"
"2019-07-29","638","638","627","635","53500","635"
"2019-07-30","641","641","632","637","49500","637"
"2019-07-31","665","688","665","670","415100","670"
"2019-08-01","675","691","675","680","191800","680"
"2019-08-02","675","676","666","666","83900","666"
"2019-08-05","670","670","653","660","135600","660"
"2019-08-06","651","660","648","659","125000","659"
"2019-08-07","666","671","660","663","132500","663"
"2019-08-08","666","675","665","665","130200","665"
"2019-08-09","667","672","664","668","52500","668"
"2019-08-13","665","666","656","664","111600","664"
"2019-08-14","668","673","665","673","65800","673"
"2019-08-15","671","671","660","667","121500","667"
"2019-08-16","664","680","663","675","70300","675"
"2019-08-19","679","690","679","688","99500","688"
"2019-08-20","687","691","686","688","74000","688"
"2019-08-21","687","687","678","678","53000","678"
"2019-08-22","680","680","671","672","71300","672"
"2019-08-23","676","676","668","672","57400","672"
"2019-08-26","665","671","661","669","74500","669"
"2019-08-27","675","675","661","666","64900","666"
"2019-08-28","667","667","659","663","49700","663"
"2019-08-29","662","667","659","663","62900","663"
"2019-08-30","670","676","666","676","91200","676"
"2019-09-02","676","676","670","673","41500","673"
"2019-09-03","670","672","667","669","35700","669"
"2019-09-04","666","672","666","667","85600","667"
"2019-09-05","668","673","662","669","109600","669"
"2019-09-06","672","676","670","672","105200","672"
"2019-09-10","678","690","678","688","252500","688"
"2019-09-11","689","708","688","707","377500","707"
"2019-09-12","710","712","702","708","129300","708"
"2019-09-13","710","717","707","717","256700","717"
"2019-09-17","718","722","709","720","153100","720"
"2019-09-18","721","727","716","720","161600","720"
"2019-09-19","722","730","722","729","115600","729"
"2019-09-20","730","744","729","740","139200","740"
"2019-09-24","737","749","737","739","138700","739"
