9437 東証1部 (株)ＮＴＴドコモ（情報・通信）,,,,,
"2019-05-17","2450","2472.5","2441","2457.5","5154200","2457.5"
"2019-05-20","2458","2493.5","2458","2483.5","3567100","2483.5"
"2019-05-21","2491.5","2533","2489","2525","6477300","2525"
"2019-05-22","2549","2551.5","2524.5","2531","5872600","2531"
"2019-05-23","2522","2546.5","2506","2543.5","5047300","2543.5"
"2019-05-24","2513.5","2539.5","2510.5","2536","5080800","2536"
"2019-05-27","2542","2549.5","2532","2548.5","2850400","2548.5"
"2019-05-28","2537","2550.5","2528.5","2544","4140300","2544"
"2019-05-29","2519","2533","2505","2510","5121100","2510"
"2019-05-30","2501","2515","2494.5","2515","3255900","2515"
"2019-05-31","2515","2526.5","2490.5","2495.5","5115700","2495.5"
"2019-06-03","2460","2508","2457.5","2503","4107600","2503"
"2019-06-04","2498","2500.5","2468","2472","3894500","2472"
"2019-06-05","2479.5","2497.5","2467.5","2475.5","5271100","2475.5"
"2019-06-06","2493.5","2523.5","2486.5","2512.5","4541100","2512.5"
"2019-06-07","2530","2534","2513","2519","2540600","2519"
"2019-06-10","2494.5","2502","2465","2494","5107000","2494"
"2019-06-11","2486.5","2498","2476.5","2492","4092300","2492"
"2019-06-12","2470","2476","2451","2464.5","5411500","2464.5"
"2019-06-13","2470","2485.5","2469","2482","4023100","2482"
"2019-06-14","2482.5","2494","2478.5","2490","3529900","2490"
"2019-06-17","2490","2506.5","2480","2486","3539300","2486"
"2019-06-18","2491","2498.5","2462","2467","4480800","2467"
"2019-06-19","2482","2488","2466","2485","3640200","2485"
"2019-06-20","2490","2513","2487.5","2494","3917300","2494"
"2019-06-21","2497.5","2513.5","2473.5","2480.5","6250900","2480.5"
"2019-06-24","2485.5","2488","2473.5","2480","2485500","2480"
"2019-06-25","2493.5","2520.5","2485.5","2518.5","4158700","2518.5"
"2019-06-26","2499","2516.5","2497","2508.5","4065500","2508.5"
"2019-06-27","2507","2537.5","2491","2537.5","4642300","2537.5"
"2019-06-28","2538","2539.5","2505.5","2512.5","4593600","2512.5"
"2019-07-01","2542","2549","2530","2538.5","4218900","2538.5"
"2019-07-02","2538.5","2544.5","2525.5","2533","3837700","2533"
"2019-07-03","2531","2536","2518","2534","3695500","2534"
"2019-07-04","2535","2550.5","2529.5","2550","2443900","2550"
"2019-07-05","2549.5","2569","2549.5","2568","3075000","2568"
"2019-07-08","2567.5","2570","2534","2540","3919400","2540"
"2019-07-09","2553","2572.5","2531.5","2539","4429100","2539"
"2019-07-10","2559","2577.5","2544.5","2573.5","4336500","2573.5"
"2019-07-11","2573.5","2606","2571.5","2605","4982100","2605"
"2019-07-12","2605","2635.5","2605","2615","4249100","2615"
"2019-07-16","2586.5","2595","2569.5","2588.5","4329900","2588.5"
"2019-07-17","2588.5","2626.5","2587.5","2626.5","3856000","2626.5"
"2019-07-18","2634.5","2644.5","2579.5","2592.5","5351200","2592.5"
"2019-07-19","2593","2642","2593","2641.5","4008900","2641.5"
"2019-07-22","2633.5","2651","2626.5","2630.5","2841200","2630.5"
"2019-07-23","2631","2654.5","2628","2644","2368900","2644"
"2019-07-24","2646","2652.5","2639","2648.5","3192800","2648.5"
"2019-07-25","2655.5","2659","2639","2644.5","3041700","2644.5"
"2019-07-26","2626","2647","2621","2642.5","2807600","2642.5"
"2019-07-29","2621","2644","2611","2630.5","4383700","2630.5"
"2019-07-30","2618","2645","2613","2620","2955500","2620"
"2019-07-31","2611","2620","2595","2615","4953400","2615"
"2019-08-01","2604","2623","2597.5","2621.5","3250200","2621.5"
"2019-08-02","2600","2611","2575.5","2599","4085800","2599"
"2019-08-05","2587","2597","2554","2580.5","3393700","2580.5"
"2019-08-06","2542.5","2575.5","2528.5","2568.5","4107100","2568.5"
"2019-08-07","2563","2591.5","2546.5","2584","4049900","2584"
"2019-08-08","2576.5","2589","2570","2578.5","3236600","2578.5"
"2019-08-09","2596","2642","2590","2635.5","4447300","2635.5"
"2019-08-13","2612","2625.5","2596.5","2620.5","6458800","2620.5"
"2019-08-14","2633.5","2657.5","2626","2641","4222800","2641"
"2019-08-15","2609","2614.5","2590","2592","5045300","2592"
"2019-08-16","2591","2627.5","2579","2620","4206700","2620"
"2019-08-19","2628","2650","2619.5","2646","2739700","2646"
"2019-08-20","2645","2665.5","2636","2644.5","3464200","2644.5"
"2019-08-21","2624.5","2644","2619","2639.5","3398600","2639.5"
"2019-08-22","2639.5","2643","2629","2640","3692800","2640"
"2019-08-23","2634.5","2641.5","2605","2616","4280100","2616"
"2019-08-26","2566","2598","2559.5","2589.5","4323400","2589.5"
"2019-08-27","2602","2619.5","2598.5","2613.5","4203900","2613.5"
"2019-08-28","2623.5","2666","2617.5","2664","4807300","2664"
"2019-08-29","2651.5","2662","2642.5","2653","3180600","2653"
"2019-08-30","2680","2687.5","2674.5","2682","4042900","2682"
"2019-09-02","2685.5","2707.5","2677","2703","2412700","2703"
"2019-09-03","2703","2717","2696","2711.5","2526700","2711.5"
"2019-09-04","2706","2721","2692.5","2713.5","3956400","2713.5"
"2019-09-05","2700.5","2726.5","2694.5","2708","4478600","2708"
"2019-09-06","2710","2730","2682.5","2684","3987200","2684"
"2019-09-10","2750","2787","2739.5","2751","5104500","2751"
"2019-09-11","2760","2787.5","2754","2781","4377200","2781"
"2019-09-12","2799","2799","2775","2788","4530800","2788"
"2019-09-13","2780","2808","2772.5","2805","5924300","2805"
"2019-09-17","2806","2843.5","2796","2843.5","4330300","2843.5"
"2019-09-18","2849.5","2858","2818","2819","3768000","2819"
"2019-09-19","2822","2837.5","2789","2789","5744800","2789"
"2019-09-20","2809.5","2826.5","2789","2794","6251000","2794"
"2019-09-24","2819","2830","2810","2826","5325500","2826"
