7751 東証1部 キヤノン(株)（電気機器）,,,,,
"2018-03-29","3880","3897","3825","3850","3603300","3850"
"2018-03-30","3865","3870","3841","3853","3749000","3853"
"2018-04-02","3860","3888","3855","3860","2051100","3860"
"2018-04-03","3825","3826","3797","3805","4395200","3805"
"2018-04-04","3833","3839","3802","3805","4281800","3805"
"2018-04-05","3859","3899","3847","3891","4136200","3891"
"2018-04-06","3870","3873","3822","3826","4907300","3826"
"2018-04-09","3832","3863","3825","3850","2915000","3850"
"2018-04-10","3841","3934","3840","3923","4657200","3923"
"2018-04-11","3950","3955","3900","3900","3699400","3900"
"2018-04-12","3908","3908","3858","3867","2860000","3867"
"2018-04-13","3860","3889","3853","3865","4073100","3865"
"2018-04-16","3874","3890","3865","3883","2670100","3883"
"2018-04-17","3883","3891","3867","3877","2291300","3877"
"2018-04-18","3898","3901","3862","3877","3849000","3877"
"2018-04-19","3878","3904","3867","3870","3607600","3870"
"2018-04-20","3863","3885","3856","3882","2934300","3882"
"2018-04-23","3898","3912","3860","3860","3377300","3860"
"2018-04-24","3879","3900","3860","3897","3477500","3897"
"2018-04-25","3860","3872","3827","3833","5802900","3833"
"2018-04-26","3854","3868","3811","3811","6593200","3811"
"2018-04-27","3808","3811","3766","3790","6966300","3790"
"2018-05-01","3771","3799","3770","3781","3823000","3781"
"2018-05-02","3781","3790","3775","3775","4061600","3775"
"2018-05-07","3770","3781","3759","3771","4025700","3771"
"2018-05-08","3771","3796","3761","3784","3794000","3784"
"2018-05-09","3780","3814","3779","3789","5064400","3789"
"2018-05-10","3813","3813","3788","3790","3346800","3790"
"2018-05-11","3817","3818","3786","3796","3989900","3796"
"2018-05-14","3797","3806","3783","3803","3096600","3803"
"2018-05-15","3812","3815","3797","3798","3141600","3798"
"2018-05-16","3792","3803","3782","3782","4252000","3782"
"2018-05-17","3790","3804","3788","3797","2632300","3797"
"2018-05-18","3805","3822","3804","3820","3103200","3820"
"2018-05-21","3820","3824","3805","3808","2537000","3808"
"2018-05-22","3811","3813","3795","3795","3133400","3795"
"2018-05-23","3803","3811","3782","3784","4343000","3784"
"2018-05-24","3781","3786","3750","3752","5252800","3752"
"2018-05-25","3753","3770","3747","3761","3484100","3761"
"2018-05-28","3770","3770","3749","3759","2303100","3759"
"2018-05-29","3750","3762","3743","3759","3274200","3759"
"2018-05-30","3719","3719","3696","3696","5122300","3696"
"2018-05-31","3720","3738","3702","3714","10370200","3714"
"2018-06-01","3700","3718","3686","3701","3587200","3701"
"2018-06-04","3730","3773","3721","3762","3152500","3762"
"2018-06-05","3765","3779","3753","3756","2985900","3756"
"2018-06-06","3755","3763","3736","3754","3148900","3754"
"2018-06-07","3780","3791","3763","3763","4142600","3763"
"2018-06-08","3761","3776","3749","3749","4191700","3749"
"2018-06-11","3745","3758","3737","3746","2771200","3746"
"2018-06-12","3770","3789","3749","3755","3417300","3755"
"2018-06-13","3754","3776","3748","3764","3456700","3764"
"2018-06-14","3755","3761","3738","3738","4072800","3738"
"2018-06-15","3738","3753","3727","3752","5035700","3752"
"2018-06-18","3733","3735","3691","3704","5112100","3704"
"2018-06-19","3711","3714","3680","3680","5439400","3680"
"2018-06-20","3679","3702","3647","3692","5058400","3692"
"2018-06-21","3669","3683","3648","3667","5880500","3667"
"2018-06-22","3640","3698","3635","3693","4148300","3693"
"2018-06-25","3702","3716","3694","3712","3507000","3712"
"2018-06-26","3700","3717","3654","3715","6701900","3715"
"2018-06-27","3600","3620","3575","3603","6217900","3603"
"2018-06-28","3570","3603","3570","3589","4483900","3589"
"2018-06-29","3625","3632","3606","3631","4168600","3631"
"2018-07-02","3611","3639","3575","3579","3665000","3579"
"2018-07-03","3544","3545","3477","3507","6891900","3507"
"2018-07-04","3504","3514","3487","3505","3075600","3505"
"2018-07-05","3505","3505","3473","3486","3197400","3486"
"2018-07-06","3495","3495","3463","3480","3973600","3480"
"2018-07-09","3484","3520","3465","3517","2964500","3517"
"2018-07-10","3533","3565","3526","3543","4003300","3543"
"2018-07-11","3520","3536","3497","3526","4198900","3526"
"2018-07-12","3523","3523","3499","3505","2948500","3505"
"2018-07-13","3534","3548","3522","3542","3219400","3542"
"2018-07-17","3552","3591","3539","3577","2660000","3577"
"2018-07-18","3590","3590","3559","3565","2292800","3565"
"2018-07-19","3561","3575","3555","3555","2991500","3555"
"2018-07-20","3559","3577","3546","3569","2702700","3569"
"2018-07-23","3540","3566","3538","3551","2145900","3551"
"2018-07-24","3510","3555","3504","3538","2884300","3538"
"2018-07-25","3552","3574","3551","3560","2811400","3560"
"2018-07-26","3579","3587","3564","3575","2879400","3575"
"2018-07-27","3545","3594","3543","3569","4160500","3569"
"2018-07-30","3559","3602","3548","3599","2778900","3599"
"2018-07-31","3585","3625","3571","3617","4187200","3617"
"2018-08-01","3624","3632","3573","3594","3653600","3594"
"2018-08-02","3575","3599","3565","3575","2774400","3575"
"2018-08-03","3585","3588","3574","3585","2230300","3585"
"2018-08-06","3583","3590","3564","3570","1961600","3570"
"2018-08-07","3566","3610","3551","3610","2568100","3610"
"2018-08-08","3620","3639","3604","3607","2499700","3607"
"2018-08-09","3595","3609","3582","3597","1548300","3597"
"2018-08-10","3588","3610","3578","3592","3041500","3592"
"2018-08-13","3561","3566","3501","3504","3397700","3504"
"2018-08-14","3525","3559","3504","3558","2331400","3558"
"2018-08-15","3535","3549","3512","3517","2122300","3517"
"2018-08-16","3490","3504","3451","3491","3973900","3491"
"2018-08-17","3506","3529","3497","3517","2088200","3517"
"2018-08-20","3514","3515","3495","3501","1736200","3501"
"2018-08-21","3508","3508","3482","3485","1766400","3485"
"2018-08-22","3485","3505","3472","3503","2218500","3503"
"2018-08-23","3500","3508","3495","3500","1602500","3500"
"2018-08-24","3500","3510","3491","3510","1767800","3510"
"2018-08-27","3513","3548","3506","3543","1873200","3543"
"2018-08-28","3566","3584","3563","3571","2130300","3571"
"2018-08-29","3571","3587","3567","3576","1773200","3576"
"2018-08-30","3594","3594","3565","3568","2859000","3568"
"2018-08-31","3551","3572","3534","3563","2581300","3563"
"2018-09-03","3560","3568","3516","3523","1713700","3523"
"2018-09-04","3531","3535","3503","3508","2042200","3508"
"2018-09-05","3500","3504","3462","3466","3602500","3466"
"2018-09-06","3466","3471","3432","3432","3165200","3432"
"2018-09-07","3402","3404","3376","3389","3693700","3389"
"2018-09-10","3402","3414","3396","3400","2307600","3400"
"2018-09-11","3400","3414","3390","3408","2478600","3408"
"2018-09-12","3414","3414","3371","3375","3388800","3375"
"2018-09-13","3370","3416","3368","3406","2351500","3406"
"2018-09-14","3411","3459","3408","3459","5627700","3459"
"2018-09-18","3458","3543","3457","3535","4107700","3535"
"2018-09-19","3554","3575","3529","3553","3947500","3553"
"2018-09-20","3548","3556","3510","3529","3572300","3529"
"2018-09-21","3535","3564","3535","3560","5814000","3560"
"2018-09-25","3561","3584","3546","3584","4357900","3584"
"2018-09-26","3588","3620","3572","3618","4126200","3618"
"2018-09-27","3613","3616","3572","3574","3420000","3574"
"2018-09-28","3597","3620","3583","3610","4265800","3610"
"2018-10-01","3601","3646","3601","3632","3269400","3632"
"2018-10-02","3654","3679","3648","3671","4127000","3671"
"2018-10-03","3638","3657","3615","3617","3667600","3617"
"2018-10-04","3616","3642","3604","3610","3650000","3610"
"2018-10-05","3600","3634","3593","3617","2952900","3617"
"2018-10-09","3580","3583","3529","3535","3971800","3535"
"2018-10-10","3552","3569","3537","3541","2508100","3541"
"2018-10-11","3457","3490","3443","3453","6013100","3453"
"2018-10-12","3427","3497","3424","3496","4570500","3496"
"2018-10-15","3463","3481","3444","3464","3787300","3464"
"2018-10-16","3476","3527","3472","3518","3621100","3518"
"2018-10-17","3544","3574","3529","3565","4102600","3565"
"2018-10-18","3580","3607","3574","3578","2859100","3578"
"2018-10-19","3543","3565","3531","3555","2547300","3555"
"2018-10-22","3540","3579","3524","3569","2935400","3569"
"2018-10-23","3545","3550","3461","3465","4416400","3465"
"2018-10-24","3492","3516","3473","3498","3598300","3498"
"2018-10-25","3408","3428","3390","3397","4954500","3397"
"2018-10-26","3327","3327","3193","3206","14530200","3206"
"2018-10-29","3200","3213","3171","3179","7209800","3179"
"2018-10-30","3146","3257","3139","3243","6253700","3243"
"2018-10-31","3213","3231","3181","3222","8447800","3222"
"2018-11-01","3210","3310","3203","3258","6080100","3258"
"2018-11-02","3250","3300","3238","3280","5133700","3280"
"2018-11-05","3250","3276","3228","3237","3862000","3237"
"2018-11-06","3250","3259","3235","3250","2893100","3250"
"2018-11-07","3236","3264","3201","3208","4798900","3208"
"2018-11-08","3248","3276","3238","3266","3410200","3266"
"2018-11-09","3290","3340","3267","3275","4940200","3275"
"2018-11-12","3266","3304","3257","3298","2712200","3298"
"2018-11-13","3240","3263","3221","3253","4574500","3253"
"2018-11-14","3250","3271","3238","3264","3205400","3264"
"2018-11-15","3238","3241","3211","3226","4399900","3226"
"2018-11-16","3239","3248","3207","3217","5076600","3217"
"2018-11-19","3217","3252","3217","3239","2357500","3239"
"2018-11-20","3201","3220","3196","3203","3795900","3203"
"2018-11-21","3175","3190","3160","3181","3870000","3181"
"2018-11-22","3180","3199","3176","3189","2533100","3189"
"2018-11-26","3197","3209","3183","3197","2880500","3197"
"2018-11-27","3224","3235","3205","3211","3223900","3211"
"2018-11-28","3217","3252","3215","3247","4222600","3247"
"2018-11-29","3289","3296","3260","3262","3187200","3262"
"2018-11-30","3245","3269","3220","3220","7565200","3220"
"2018-12-03","3255","3283","3238","3270","4393300","3270"
"2018-12-04","3278","3286","3222","3223","4887900","3223"
"2018-12-05","3201","3206","3176","3192","5528200","3192"
"2018-12-06","3181","3188","3140","3148","6611100","3148"
"2018-12-07","3178","3194","3148","3170","5344500","3170"
"2018-12-10","3125","3137","3111","3120","4308600","3120"
"2018-12-11","3145","3145","3102","3105","4911700","3105"
"2018-12-12","3106","3148","3106","3141","4810600","3141"
"2018-12-13","3159","3190","3152","3177","3718200","3177"
"2018-12-14","3175","3192","3149","3150","6489500","3150"
"2018-12-17","3149","3181","3146","3171","3588200","3171"
"2018-12-18","3139","3157","3128","3133","5023500","3133"
"2018-12-19","3150","3150","3114","3121","5329500","3121"
"2018-12-20","3100","3113","3024","3040","7244900","3040"
"2018-12-21","3017","3032","3005","3018","7398400","3018"
"2018-12-25","2971","2980","2952","2956","9607300","2956"
"2018-12-26","2931","2950","2876.5","2917","7135300","2917"
"2018-12-27","2998.5","3024","2970","3008","6083700","3008"
"2018-12-28","3000","3021","2982.5","3001","4041200","3001"
