1898 東証1部 世紀東急工業(株)（建設業）,,,,,
"2018-07-13","715","715","705","709","55600","709"
"2018-07-17","710","721","706","717","87100","717"
"2018-07-18","725","727","722","727","66400","727"
"2018-07-19","728","728","716","720","58700","720"
"2018-07-20","720","726","716","724","96100","724"
"2018-07-23","724","727","719","724","51100","724"
"2018-07-24","729","730","724","728","35200","728"
"2018-07-25","731","735","729","733","35900","733"
"2018-07-26","739","739","732","738","44700","738"
"2018-07-27","742","744","731","733","73900","733"
"2018-07-30","738","741","731","740","67700","740"
"2018-07-31","738","738","727","734","72400","734"
"2018-08-01","736","738","729","731","52600","731"
"2018-08-02","732","732","717","720","64500","720"
"2018-08-03","721","722","707","707","95400","707"
"2018-08-06","707","707","695","696","111300","696"
"2018-08-07","693","704","693","703","108300","703"
"2018-08-08","703","707","680","683","251800","683"
"2018-08-09","687","699","686","689","122600","689"
"2018-08-10","690","694","684","686","171700","686"
"2018-08-13","689","690","678","680","132300","680"
"2018-08-14","688","689","679","688","108700","688"
"2018-08-15","691","691","680","683","77300","683"
"2018-08-16","688","693","675","689","130300","689"
"2018-08-17","695","699","685","699","52600","699"
"2018-08-20","696","698","688","688","49500","688"
"2018-08-21","689","696","688","690","63200","690"
"2018-08-23","698","702","696","700","82900","700"
"2018-08-24","705","705","694","700","61200","700"
"2018-08-27","705","705","694","697","115200","697"
"2018-08-28","700","702","690","691","152800","691"
"2018-08-29","692","699","690","697","176900","697"
"2018-08-30","700","703","691","696","146900","696"
"2018-08-31","692","701","692","693","110300","693"
"2018-09-03","694","700","678","683","209900","683"
"2018-09-04","684","684","673","680","221800","680"
"2018-09-05","680","681","668","671","263700","671"
"2018-09-06","678","688","666","670","294800","670"
"2018-09-07","669","678","659","677","185500","677"
"2018-09-10","675","675","665","667","92000","667"
"2018-09-11","668","670","660","668","180900","668"
"2018-09-12","668","674","660","671","119100","671"
"2018-09-13","671","685","671","681","103700","681"
"2018-09-14","680","691","680","688","152400","688"
"2018-09-18","688","701","683","696","155000","696"
"2018-09-19","701","711","694","709","183000","709"
"2018-09-20","711","711","701","708","127600","708"
"2018-09-21","714","722","708","720","215700","720"
"2018-09-25","724","724","711","721","196900","721"
"2018-09-26","718","732","715","731","215000","731"
"2018-09-27","718","725","700","703","277700","703"
"2018-09-28","710","718","704","707","127200","707"
"2018-10-01","707","713","700","702","126200","702"
"2018-10-02","703","713","700","702","126100","702"
"2018-10-03","707","707","686","687","216900","687"
"2018-10-04","695","701","688","696","150700","696"
"2018-10-05","694","694","688","690","185600","690"
"2018-10-09","688","691","681","685","162000","685"
"2018-10-10","689","695","682","687","122300","687"
"2018-10-11","675","677","666","670","202700","670"
"2018-10-12","669","671","661","667","243300","667"
"2018-10-15","669","669","654","655","183100","655"
"2018-10-16","656","660","652","654","159700","654"
"2018-10-17","663","671","663","670","104000","670"
"2018-10-18","671","680","670","671","152100","671"
"2018-10-19","668","673","661","671","125500","671"
"2018-10-22","672","675","663","671","84200","671"
"2018-10-23","664","667","657","657","142600","657"
"2018-10-24","660","670","658","665","138400","665"
"2018-10-25","652","655","646","650","248600","650"
"2018-10-26","657","662","636","638","247800","638"
"2018-10-29","640","652","635","638","124600","638"
"2018-10-30","636","645","636","636","366800","636"
"2018-10-31","642","649","640","644","199600","644"
"2018-11-01","645","663","643","659","146600","659"
"2018-11-02","654","659","645","653","123400","653"
"2018-11-05","649","656","646","650","101400","650"
"2018-11-06","652","660","651","658","61700","658"
"2018-11-07","659","664","655","661","77200","661"
"2018-11-08","669","677","666","666","133800","666"
"2018-11-09","666","666","645","657","217900","657"
"2018-11-12","658","669","653","667","177600","667"
"2018-11-13","658","661","650","658","125900","658"
"2018-11-14","659","668","659","660","119000","660"
"2018-11-15","658","661","655","660","66700","660"
"2018-11-16","659","662","648","649","156500","649"
"2018-11-19","650","650","643","648","87900","648"
"2018-11-20","643","646","640","643","137400","643"
"2018-11-21","641","641","629","635","180500","635"
"2018-11-22","634","636","626","633","193600","633"
"2018-11-26","638","652","636","651","166000","651"
"2018-11-27","657","673","654","669","244800","669"
"2018-11-28","670","673","666","670","136600","670"
"2018-11-29","672","680","670","675","136300","675"
"2018-11-30","675","678","668","674","96300","674"
"2018-12-03","675","682","674","678","105800","678"
"2018-12-04","676","676","660","660","142500","660"
"2018-12-05","650","657","645","650","131300","650"
"2018-12-06","652","654","644","647","160800","647"
"2018-12-07","647","655","645","652","148300","652"
"2018-12-10","641","643","637","641","124900","641"
"2018-12-11","637","640","627","637","230100","637"
"2018-12-12","643","648","640","645","107700","645"
"2018-12-13","651","666","649","663","261400","663"
"2018-12-14","664","664","649","649","226800","649"
"2018-12-17","649","651","645","647","110100","647"
"2018-12-18","641","643","633","640","112700","640"
"2018-12-19","638","647","636","644","129900","644"
"2018-12-20","643","646","629","630","171500","630"
"2018-12-21","626","626","604","609","357400","609"
"2018-12-25","589","591","568","578","262100","578"
"2018-12-26","585","589","573","586","475800","586"
"2018-12-27","601","607","601","607","208400","607"
"2018-12-28","605","608","601","607","149500","607"
